,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.0, 0.1, 0.9)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
4,"Expert (0.0, 0.2, 0.8)","(0.4030920244702812, 0.12208170565255722)","(0.586399354865295, 0.21813232466546845)","(0.212612851668765, 0.10408009543433726)"
5,"Expert (0.0, 0.3, 0.7)","(0.40849127655153433, 0.13229779704534653)","(0.5814850725098375, 0.20930848153749024)","(0.21276650353875562, 0.10417434158539561)"
6,"Expert (0.0, 0.4, 0.6)","(0.4088895983303174, 0.13256425465535268)","(0.5782904564133021, 0.20676114531241388)","(0.21293562803590535, 0.10433865767441564)"
7,"Expert (0.0, 0.5, 0.5)","(0.4097392324482299, 0.13286625392636506)","(0.5770195218537992, 0.20632587346380935)","(0.21302233602718365, 0.10447408260406085)"
8,"Expert (0.0, 0.6, 0.4)","(0.40877973895418873, 0.1313636825259804)","(0.573013762343563, 0.20543178052312278)","(0.2134511299989658, 0.10591503118722229)"
9,"Expert (0.0, 0.7, 0.3)","(0.4087716724323783, 0.13136764134907364)","(0.5719708292145744, 0.20686958348485676)","(0.21362953571990242, 0.10596869021560087)"
10,"Expert (0.0, 0.8, 0.2)","(0.4125612968032089, 0.1349469152599324)","(0.5649641589627304, 0.2065313266217537)","(0.21585166511642073, 0.1081615698489921)"
11,"Expert (0.0, 0.9, 0.1)","(0.4076565228529752, 0.13327166710984303)","(0.5174784577008579, 0.19106365797960004)","(0.24442299405123585, 0.14709210800913428)"
12,"Expert (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.0, 0.1, 0.9)","(0.4267946906410782, 0.12702723470117835)","(0.5577043085911627, 0.20277461949342432)","(0.2985025766629214, 0.14592343941691124)"
15,"Society (0.0, 0.2, 0.8)","(0.45305169866784906, 0.13084303347902973)","(0.5365115724897279, 0.20030054867911107)","(0.3816630411427468, 0.18336495846932713)"
16,"Society (0.0, 0.3, 0.7)","(0.472402176644506, 0.13640946213203764)","(0.49885323703818274, 0.18052391352236238)","(0.4614558157490376, 0.2159979242533045)"
17,"Society (0.0, 0.4, 0.6)","(0.4991789188534695, 0.14749911935720358)","(0.4733298851950264, 0.17187187366904857)","(0.5492325170571061, 0.2614611507144094)"
18,"Society (0.0, 0.5, 0.5)","(0.5319219329389804, 0.1660834411747849)","(0.4432364882949945, 0.14683934875213592)","(0.6531139874425687, 0.3293010688188175)"
19,"Society (0.0, 0.6, 0.4)","(0.5500878480152767, 0.17230383781212066)","(0.41288832101130735, 0.13731499642420936)","(0.7244978334827082, 0.333148086518363)"
20,"Society (0.0, 0.7, 0.3)","(0.5790954926760414, 0.1825745633407844)","(0.3834858057594254, 0.12820649456331723)","(0.8247515347672895, 0.3798214497511703)"
