,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.0, 0.1, 0.9)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
4,"Expert (0.0, 0.2, 0.8)","(0.4030920244702812, 0.12208170565255722)","(0.586399354865295, 0.21813232466546845)","(0.212612851668765, 0.10408009543433726)"
5,"Expert (0.0, 0.3, 0.7)","(0.40849127655153433, 0.13229779704534653)","(0.5814850725098375, 0.20930848153749024)","(0.21276650353875562, 0.10417434158539561)"
6,"Expert (0.0, 0.4, 0.6)","(0.4088895983303174, 0.13256425465535268)","(0.5782904564133021, 0.20676114531241388)","(0.21293562803590535, 0.10433865767441564)"
7,"Expert (0.0, 0.5, 0.5)","(0.4097392324482299, 0.13286625392636506)","(0.5770195218537992, 0.20632587346380935)","(0.21302233602718365, 0.10447408260406085)"
8,"Expert (0.0, 0.6, 0.4)","(0.40877973895418873, 0.1313636825259804)","(0.573013762343563, 0.20543178052312278)","(0.2134511299989658, 0.10591503118722229)"
9,"Expert (0.0, 0.7, 0.3)","(0.4087716724323783, 0.13136764134907364)","(0.5719708292145744, 0.20686958348485676)","(0.21362953571990242, 0.10596869021560087)"
10,"Expert (0.0, 0.8, 0.2)","(0.4125612968032089, 0.1349469152599324)","(0.5649641589627304, 0.2065313266217537)","(0.21585166511642073, 0.1081615698489921)"
11,"Expert (0.0, 0.9, 0.1)","(0.4076565228529752, 0.13327166710984303)","(0.5174784577008579, 0.19106365797960004)","(0.24442299405123585, 0.14709210800913428)"
12,"Expert (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.0, 0.1, 0.9)","(0.42856230418317287, 0.1265201627733963)","(0.5583495325622176, 0.20854404506309204)","(0.3034499404718716, 0.14693871847236295)"
15,"Society (0.0, 0.2, 0.8)","(0.4557612735548327, 0.14247810506090622)","(0.5317057587789589, 0.184762021500784)","(0.3901376953268483, 0.22481287518034992)"
16,"Society (0.0, 0.3, 0.7)","(0.4798067410986588, 0.13753652476586092)","(0.49807685734233115, 0.187015061947099)","(0.47831506051267136, 0.22857979672179163)"
17,"Society (0.0, 0.4, 0.6)","(0.4996876120722032, 0.1396618987636852)","(0.4765555892602654, 0.17155052843444232)","(0.5462699856010945, 0.23110234152784517)"
18,"Society (0.0, 0.5, 0.5)","(0.52671281308576, 0.1601876363572353)","(0.4399095247856932, 0.1511416548418719)","(0.6443753012849668, 0.29333720243070305)"
19,"Society (0.0, 0.6, 0.4)","(0.5571960606771571, 0.1808356928602952)","(0.4084262347094314, 0.12899659142423797)","(0.7478257961016712, 0.36971481532095873)"
20,"Society (0.0, 0.7, 0.3)","(0.5846319636071137, 0.1950458043701282)","(0.37737852074669237, 0.11426623494460293)","(0.836666643400531, 0.41772773439574296)"
