,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.008598866872489452, 0.006737861316651106, 0.9846632480621338)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9599808214601985, 0.05911839596679515)","(0.5564175024614397, 0.2015435964287199)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.020813992246985435, 0.007863511331379414, 0.9713224768638611)","(0.1, 0.0, 0.9)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9616542550201015, 0.05760671405114644)","(0.555849398744459, 0.201514020956022)","(0.9999855796285505, 0.00012488408007339506)","(1.0, 0.0)","(0.9889594538336532, 0.02936135142791979)"
2,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.2, 0.0, 0.8)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.962588773448914, 0.05577679546994845)","(0.5546352142311413, 0.2025538583427329)","(0.9998719432303256, 0.0009903590260222494)","(1.0, 0.0)","(0.9801598443192606, 0.04528761200253834)"
3,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.3, 0.0, 0.7)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.962588773448914, 0.05577679546994845)","(0.5546352142311413, 0.2025538583427329)","(0.9998719432303256, 0.0009903590260222494)","(1.0, 0.0)","(0.9721509991568604, 0.057961078032521415)"
4,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.4, 0.0, 0.6)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.962588773448914, 0.05577679546994845)","(0.5546352142311413, 0.2025538583427329)","(0.9998719432303256, 0.0009903590260222494)","(1.0, 0.0)","(0.9693243782447915, 0.060395998069253984)"
5,"(0.1535181999206543, 0.001999689731746912, 0.8444821238517761)","(0.5, 0.0, 0.5)","(0.9925600720875835, 0.02719134006438596)","(0.9883617448370402, 0.050303337193629845)","(0.9977635827960836, 0.008584850351074515)","(0.9662003939500705, 0.04986158085182327)","(0.557630499996794, 0.20298721667228697)","(0.9989754315048757, 0.005901339714242544)","(0.9950521871901775, 0.01827996834482503)","(0.9676725244287734, 0.057952867213493964)"
6,"(0.25123804807662964, 0.0111409155651927, 0.737621009349823)","(0.6, 0.0, 0.4)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9743935207780151, 0.047153274834500346)","(0.5527536905370716, 0.20502955550724358)","(0.9959041494787894, 0.012403499296178504)","(1.0, 0.0)","(0.9669215395283586, 0.05450987040418652)"
7,"(0.35934677720069885, 0.011182439513504505, 0.6294707655906677)","(0.7, 0.0, 0.3)","(0.9979843805923305, 0.01745577611402709)","(0.9959152534479117, 0.03537494282129378)","(0.9979513196745845, 0.017742092060430547)","(0.9796062304563563, 0.041169929259382516)","(0.5448676587754896, 0.20157184740639375)","(0.9909357976043145, 0.02554513943723476)","(0.997974441673751, 0.01754184967378669)","(0.9700082066691537, 0.05329210682241513)"
8,"(0.4484443962574005, 0.005800302606076002, 0.5457552671432495)","(0.8, 0.0, 0.2)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9824799949832325, 0.037151598643379906)","(0.5400271767453786, 0.20373191012681308)","(0.9874742742469701, 0.03366932731905683)","(1.0, 0.0)","(0.9727112401019516, 0.04855124290265245)"
9,"(0.5439459085464478, 0.0011553338263183832, 0.4548986852169037)","(0.9, 0.0, 0.1)","(0.9990099532224898, 0.007565684338058385)","(0.9937961610088611, 0.04027478652263428)","(0.998439842330859, 0.011226945106595236)","(0.9881029164446288, 0.02889732109413747)","(0.5351117982929973, 0.20308546061623794)","(0.9780188297601915, 0.04944096299293347)","(0.9989515324826359, 0.007938789964519551)","(0.9804414295666973, 0.038272396145222494)"
10,"(0.9688597917556763, 0.009442987851798534, 0.02169712446630001)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5531167947007112, 0.20616171782951725)","(0.9237480948129704, 0.13574958522696715)","(1.0, 0.0)","(1.0, 0.0)"
