,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.009938295930624008, 0.009815455414354801, 0.9802462458610535)","(0.0, 0.0, 1.0)","(0.9995556116227364, 0.0038485162385666198)","(0.9970804303219524, 0.025284215093080282)","(0.9997308464334673, 0.0023309382613645986)","(0.959536433082935, 0.05894257971368286)","(0.5577027836076024, 0.20048429661589526)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)"
1,"(0.12850211560726166, 0.019670559093356133, 0.8518273234367371)","(0.1, 0.0, 0.9)","(0.9965356026492354, 0.02638486362417823)","(0.9923269004423391, 0.048023311872475015)","(0.9991136839264793, 0.00580239323046158)","(0.9641270476100089, 0.051688103586719804)","(0.5610479303890364, 0.20269916103864988)","(0.9990992635550299, 0.005801534385001813)","(0.9988055891610346, 0.008211052868657231)","(0.9829980158084128, 0.0410582942563113)"
2,"(0.30083170533180237, 0.08723907172679901, 0.611929178237915)","(0.2, 0.0, 0.8)","(0.9910409838035276, 0.03534539825864685)","(0.9802159559041507, 0.06830517879139633)","(0.995268528819475, 0.022296249023007583)","(0.9684499488646044, 0.04729585200207184)","(0.5621860656747656, 0.19923772410505503)","(0.9953677448462502, 0.02229542891812395)","(0.9943005423313113, 0.023810929338006635)","(0.9811269588083714, 0.03897541988089538)"
3,"(0.4264049232006073, 0.11873307824134827, 0.45486196875572205)","(0.3, 0.0, 0.7)","(0.9836995492728775, 0.04032113618441222)","(0.9656895844441078, 0.07922347246081793)","(0.9885073087083301, 0.03909913322450034)","(0.9760864637879896, 0.0445716940497504)","(0.5621431928048226, 0.20241384799196954)","(0.9884108975175162, 0.039658838360933944)","(0.9867517131441872, 0.0370393606151662)","(0.970825258534176, 0.05093475586453274)"
4,"(0.540352463722229, 0.1056743711233139, 0.3539732098579407)","(0.4, 0.0, 0.6)","(0.9795940587667887, 0.04472090284183921)","(0.9517476152859983, 0.09895566396504529)","(0.9801375026035167, 0.05226058920847736)","(0.9818531474462353, 0.03736773856664151)","(0.5644330527471806, 0.20828505231705816)","(0.9800410914127027, 0.052665325781787224)","(0.9794245194770592, 0.04613685192983581)","(0.9669189681744792, 0.054144665258315676)"
5,"(0.659183144569397, 0.07568372786045074, 0.2651331126689911)","(0.5, 0.0, 0.5)","(0.9780829168879485, 0.04517700329015889)","(0.9321182630380218, 0.13113112940545577)","(0.9625238418419952, 0.09099414793801049)","(0.9897033349602594, 0.02310897833193316)","(0.5658656940962585, 0.2056436234594763)","(0.9603148863363443, 0.09071830171037448)","(0.9687556279782733, 0.06835518969674428)","(0.9707470979372903, 0.04356612494008104)"
6,"(0.7177774310112, 0.06052892655134201, 0.22169366478919983)","(0.6, 0.0, 0.4)","(0.9800204206036213, 0.04111182673682136)","(0.9288892150216562, 0.13438839299185895)","(0.9579536248118304, 0.09485475799126046)","(0.9932231857967161, 0.0183903670951912)","(0.5583074842381945, 0.20701294203574308)","(0.9539029152400147, 0.09424142042515173)","(0.9696813439790004, 0.0646535118975342)","(0.9777104846683106, 0.038801497307227165)"
7,"(0.7060500383377075, 0.06391149014234543, 0.23003844916820526)","(0.7, 0.0, 0.3)","(0.9867702356575925, 0.03546591989891109)","(0.9487153133093645, 0.12268190335381994)","(0.967298865793954, 0.09096435677417196)","(0.9897033349602594, 0.02310897833193316)","(0.5658656940962585, 0.2056436234594763)","(0.9603148863363443, 0.09071830171037448)","(0.9796184876658817, 0.05455814629966091)","(0.9787235490925688, 0.03553086853188594)"
8,"(0.8198301792144775, 0.03769604116678238, 0.14247378706932068)","(0.8, 0.0, 0.2)","(0.9853177537938206, 0.03382559850996812)","(0.9398053284176618, 0.12659149604308373)","(0.9570747290588504, 0.10165684063005714)","(0.9970322480231788, 0.010336001237747968)","(0.5572717542532327, 0.21056097593075535)","(0.9447104878751506, 0.10324945040129481)","(0.9782911414970066, 0.05035998043434057)","(0.9874116761568934, 0.022316721557459004)"
9,"(0.8628538250923157, 0.013314121402800083, 0.12383200973272324)","(0.9, 0.0, 0.1)","(0.9910992418662337, 0.026696544517860788)","(0.9520811083887608, 0.11531505576083052)","(0.9656688353703499, 0.09566399043462546)","(0.9977332556569686, 0.009956884658658233)","(0.5475174064400368, 0.20313100048313304)","(0.9429451675653736, 0.10231116628907806)","(0.9878067607750692, 0.03614000638950013)","(0.990687633900179, 0.022044462690627816)"
10,"(0.9595772624015808, 0.011157701723277569, 0.029265088960528374)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5531167947007112, 0.20616171782951725)","(0.9237480948129704, 0.13574958522696715)","(1.0, 0.0)","(1.0, 0.0)"
