,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 5.5964254e-08)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(0.7249099, 0.33315212)","(0.2853967, 0.24089439)","(1.0, 5.5964254e-08)","(1.0, 5.5964254e-08)","(1.0, 5.9604645e-08)"
1,"(0.1, 0.0, 0.9)","(0.1, 0.0, 0.9)","(0.9925465, 0.064549625)","(0.9906297, 0.08114942)","(0.9913843, 0.074614175)","(0.73222107, 0.327633)","(0.28437376, 0.24103725)","(0.98323077, 0.10204298)","(0.99162596, 0.07252135)","(0.95934093, 0.104474835)"
2,"(0.2, 0.0, 0.8)","(0.2, 0.0, 0.8)","(0.94363374, 0.15529421)","(0.9444069, 0.15385972)","(0.94945574, 0.1472901)","(0.7849514, 0.32552928)","(0.2679632, 0.23196943)","(0.9345134, 0.17592256)","(0.9479356, 0.14916813)","(0.90253097, 0.15677163)"
3,"(0.3, 0.0, 0.7)","(0.3, 0.0, 0.7)","(0.92313755, 0.19339433)","(0.92314, 0.19505325)","(0.9315546, 0.17960224)","(0.80544764, 0.31360614)","(0.2703601, 0.23266147)","(0.9166123, 0.20242622)","(0.9282658, 0.1847385)","(0.88627815, 0.16987804)"
4,"(0.4, 0.0, 0.6)","(0.4, 0.0, 0.6)","(0.8760021, 0.2533545)","(0.87385297, 0.25950918)","(0.88370353, 0.24569894)","(0.8435726, 0.27517197)","(0.26001137, 0.23052695)","(0.8687612, 0.26011032)","(0.87997895, 0.24903332)","(0.8559827, 0.19154821)"
5,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.9026783, 0.24760969)","(0.89554375, 0.26216277)","(0.9063782, 0.2408686)","(0.85372293, 0.26616493)","(0.2630886, 0.22913802)","(0.8557754, 0.26578856)","(0.9042967, 0.24420297)","(0.8536811, 0.18971242)"
6,"(0.6, 0.0, 0.4)","(0.6, 0.0, 0.4)","(0.8826862, 0.27054232)","(0.88262135, 0.26999113)","(0.8842157, 0.26785898)","(0.90062785, 0.21856235)","(0.2505238, 0.2296678)","(0.81511927, 0.29835907)","(0.88283044, 0.2699535)","(0.86096877, 0.19749835)"
7,"(0.7, 0.0, 0.3)","(0.7, 0.0, 0.3)","(0.89115834, 0.25168395)","(0.88975286, 0.2526087)","(0.88980746, 0.2535948)","(0.9029763, 0.21100907)","(0.25066367, 0.22958106)","(0.8140913, 0.3001058)","(0.8906429, 0.25202233)","(0.8718567, 0.1782063)"
8,"(0.8, 0.0, 0.2)","(0.8, 0.0, 0.2)","(0.8927733, 0.23178752)","(0.8813402, 0.24185163)","(0.88893175, 0.23628981)","(0.94393617, 0.17451803)","(0.2516556, 0.23539071)","(0.7764003, 0.31147262)","(0.89222217, 0.23242742)","(0.9110859, 0.15107323)"
9,"(0.9, 0.0, 0.1)","(0.9, 0.0, 0.1)","(0.92048925, 0.19395578)","(0.91018057, 0.21217637)","(0.91189796, 0.20863393)","(0.9730807, 0.12249865)","(0.26329666, 0.24370429)","(0.7472957, 0.31847247)","(0.9199688, 0.19461042)","(0.9524252, 0.12325384)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 5.2069968e-08)","(1.0, 5.554504e-08)","(1.0, 5.80149e-08)","(1.0, 5.2069968e-08)","(0.2656385, 0.24339676)","(0.72588277, 0.3276126)","(1.0, 5.2069968e-08)","(1.0, 5.7203465e-08)"
