,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.008598866872489452, 0.006737861316651106, 0.9846632480621338)","(0.0, 0.0, 1.0)","(1.0, 5.5964254e-08)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(0.7249099, 0.33315212)","(0.2853967, 0.24089439)","(1.0, 5.5964254e-08)","(1.0, 5.5964254e-08)","(1.0, 5.9604645e-08)"
1,"(0.020813992246985435, 0.007863511331379414, 0.9713224768638611)","(0.1, 0.0, 0.9)","(1.0, 5.7610613e-08)","(1.0, 5.7203465e-08)","(1.0, 5.7610613e-08)","(0.7321493, 0.32776734)","(0.28464043, 0.2408475)","(0.9918465, 0.07061156)","(1.0, 5.2516928e-08)","(0.96508235, 0.07554672)"
2,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.2, 0.0, 0.8)","(1.0, 5.7610613e-08)","(1.0, 5.7203465e-08)","(1.0, 5.7610613e-08)","(0.73222107, 0.327633)","(0.28437376, 0.24103725)","(0.98323077, 0.10204298)","(1.0, 5.8815143e-08)","(0.9324973, 0.1175658)"
3,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.3, 0.0, 0.7)","(1.0, 5.7610613e-08)","(1.0, 5.7203465e-08)","(1.0, 5.7610613e-08)","(0.73222107, 0.327633)","(0.28437376, 0.24103725)","(0.98323077, 0.10204298)","(1.0, 5.2516928e-08)","(0.9023526, 0.15506575)"
4,"(0.10139015316963196, 0.001872866996563971, 0.8967370390892029)","(0.4, 0.0, 0.6)","(1.0, 5.7610613e-08)","(1.0, 5.7203465e-08)","(1.0, 5.7610613e-08)","(0.73222107, 0.327633)","(0.28437376, 0.24103725)","(0.98323077, 0.10204298)","(1.0, 6.0383826e-08)","(0.8794481, 0.17121248)"
5,"(0.1535181999206543, 0.001999689731746912, 0.8444821238517761)","(0.5, 0.0, 0.5)","(0.9547213, 0.13676287)","(0.9536501, 0.14631382)","(0.9624208, 0.118347645)","(0.7370556, 0.32805493)","(0.28021678, 0.23082711)","(0.9757859, 0.110620886)","(0.9580398, 0.12782648)","(0.8582784, 0.18544775)"
6,"(0.25123804807662964, 0.0111409155651927, 0.737621009349823)","(0.6, 0.0, 0.4)","(1.0, 4.8826816e-08)","(1.0, 5.554504e-08)","(1.0, 5.5122637e-08)","(0.79461396, 0.32083648)","(0.26713347, 0.2324337)","(0.9274046, 0.18386911)","(1.0, 5.2516928e-08)","(0.84732515, 0.20294152)"
7,"(0.35934677720069885, 0.011182439513504505, 0.6294707655906677)","(0.7, 0.0, 0.3)","(0.9882669, 0.101611696)","(0.9881644, 0.10249955)","(0.9882595, 0.10167592)","(0.82031965, 0.29716682)","(0.2612188, 0.22987482)","(0.89073324, 0.23251496)","(0.9882658, 0.10162149)","(0.8378246, 0.22767843)"
8,"(0.4484443962574005, 0.005800302606076002, 0.5457552671432495)","(0.8, 0.0, 0.2)","(1.0, 5.2960118e-08)","(1.0, 5.426797e-08)","(1.0, 5.7610613e-08)","(0.8435726, 0.27517197)","(0.26001137, 0.23052695)","(0.8687612, 0.26011032)","(1.0, 6.3035145e-08)","(0.8482447, 0.22411604)"
9,"(0.5439459085464478, 0.0011553338263183832, 0.4548986852169037)","(0.9, 0.0, 0.1)","(0.98348415, 0.10428542)","(0.98389286, 0.10238351)","(0.9841209, 0.096674)","(0.89010036, 0.23235576)","(0.25297514, 0.23041083)","(0.8233878, 0.2946373)","(0.98346376, 0.103933975)","(0.8776596, 0.21354477)"
10,"(0.9688597917556763, 0.009442987851798534, 0.02169712446630001)","(1.0, 0.0, 0.0)","(1.0, 5.2069968e-08)","(1.0, 5.554504e-08)","(1.0, 5.80149e-08)","(1.0, 5.2069968e-08)","(0.2656385, 0.24339676)","(0.72588277, 0.3276126)","(1.0, 5.2069968e-08)","(1.0, 5.7203465e-08)"
