,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.009938295930624008, 0.009815455414354801, 0.9802462458610535)","(0.0, 0.0, 1.0)","(0.99279726, 0.06237721)","(0.9935542, 0.055822648)","(0.9931808, 0.059055954)","(0.71770716, 0.33304426)","(0.28778124, 0.24065572)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)"
1,"(0.12850211560726166, 0.019670559093356133, 0.8518273234367371)","(0.1, 0.0, 0.9)","(0.98817813, 0.07365182)","(0.98853123, 0.07031146)","(0.9898483, 0.06538402)","(0.72592974, 0.3268668)","(0.28715247, 0.24048291)","(0.98169476, 0.09537041)","(0.98966277, 0.06633822)","(0.94932824, 0.10884922)"
2,"(0.30083170533180237, 0.08723907172679901, 0.611929178237915)","(0.2, 0.0, 0.8)","(0.95578355, 0.14545546)","(0.9520299, 0.15735935)","(0.95337343, 0.15467966)","(0.747577, 0.32218033)","(0.28047624, 0.22842842)","(0.95383567, 0.15290402)","(0.9541586, 0.15163778)","(0.91931933, 0.14026774)"
3,"(0.4264049232006073, 0.11873307824134827, 0.45486196875572205)","(0.3, 0.0, 0.7)","(0.89582, 0.20874606)","(0.8926714, 0.21510951)","(0.8985085, 0.20582247)","(0.80219585, 0.31387445)","(0.27220553, 0.23075905)","(0.8909921, 0.21854909)","(0.89721096, 0.20595281)","(0.8578996, 0.18486612)"
4,"(0.540352463722229, 0.1056743711233139, 0.3539732098579407)","(0.4, 0.0, 0.6)","(0.8726544, 0.2329819)","(0.8648489, 0.2455353)","(0.8719394, 0.23732358)","(0.83507967, 0.29525995)","(0.27907324, 0.24033557)","(0.86442304, 0.24763665)","(0.8720692, 0.2342885)","(0.850389, 0.19147742)"
5,"(0.659183144569397, 0.07568372786045074, 0.2651331126689911)","(0.5, 0.0, 0.5)","(0.8558005, 0.26545787)","(0.84563607, 0.2804762)","(0.8501685, 0.27144316)","(0.8679661, 0.2604682)","(0.27958164, 0.23952323)","(0.8080814, 0.2822702)","(0.85358036, 0.26644367)","(0.82898605, 0.2169867)"
6,"(0.7177774310112, 0.06052892655134201, 0.22169366478919983)","(0.6, 0.0, 0.4)","(0.85105675, 0.27533293)","(0.8484205, 0.27654612)","(0.84090704, 0.2874612)","(0.90563804, 0.22111817)","(0.26964396, 0.24118157)","(0.7792366, 0.30536443)","(0.84758186, 0.27888787)","(0.861921, 0.19226383)"
7,"(0.7060500383377075, 0.06391149014234543, 0.23003844916820526)","(0.7, 0.0, 0.3)","(0.9092397, 0.21344027)","(0.9037775, 0.2224732)","(0.89818174, 0.23371087)","(0.8679661, 0.2604682)","(0.27958164, 0.23952323)","(0.8080814, 0.2822702)","(0.90659857, 0.2177056)","(0.8611063, 0.20686786)"
8,"(0.8198301792144775, 0.03769604116678238, 0.14247378706932068)","(0.8, 0.0, 0.2)","(0.8753423, 0.25513256)","(0.8714347, 0.26105577)","(0.8705588, 0.25887597)","(0.9544861, 0.1395636)","(0.27114153, 0.24132724)","(0.75631887, 0.320004)","(0.87449306, 0.25539145)","(0.91453433, 0.14634144)"
9,"(0.8628538250923157, 0.013314121402800083, 0.12383200973272324)","(0.9, 0.0, 0.1)","(0.92262346, 0.18832685)","(0.9110649, 0.20728967)","(0.9138515, 0.20300922)","(0.9652192, 0.13785246)","(0.26062933, 0.2356779)","(0.74924916, 0.3158361)","(0.92205954, 0.1890178)","(0.9364642, 0.14294803)"
10,"(0.9595772624015808, 0.011157701723277569, 0.029265088960528374)","(1.0, 0.0, 0.0)","(1.0, 5.2069968e-08)","(1.0, 5.554504e-08)","(1.0, 5.80149e-08)","(1.0, 5.2069968e-08)","(0.2656385, 0.24339676)","(0.72588277, 0.3276126)","(1.0, 5.2069968e-08)","(1.0, 5.7203465e-08)"
