,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.009938295930624008, 0.009815455414354801, 0.9802462458610535)","(0.0, 0.0, 1.0)",,,,"(8.131578947368421, 10.83894307488555)","(25.63157894736842, 10.540451035569635)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)"
1,"(0.12850211560726166, 0.019670559093356133, 0.8518273234367371)","(0.1, 0.0, 0.9)",,,,"(7.684210526315789, 10.377367233191702)","(25.526315789473685, 10.483663587509211)","(0.6447368421052632, 3.7895422142926196)","(0.23684210526315788, 1.440654283491684)","(2.8684210526315788, 5.167820739067459)"
2,"(0.30083170533180237, 0.08723907172679901, 0.611929178237915)","(0.2, 0.0, 0.8)",,,,"(7.078947368421052, 10.144694176987217)","(25.63157894736842, 10.368020296823605)","(1.25, 4.809871975536629)","(1.0263157894736843, 3.6848683623225162)","(3.4802631578947367, 5.019986887612411)"
3,"(0.4264049232006073, 0.11873307824134827, 0.45486196875572205)","(0.3, 0.0, 0.7)",,,,"(5.394736842105263, 9.394957980590638)","(26.0, 10.533155672496854)","(3.276315789473684, 7.547391818946335)","(2.8157894736842106, 6.548825781281207)","(4.381578947368421, 5.839897045918294)"
4,"(0.540352463722229, 0.1056743711233139, 0.3539732098579407)","(0.4, 0.0, 0.6)",,,,"(4.355263157894737, 8.644596650309222)","(25.75, 10.598069585890084)","(3.973684210526316, 8.178877937793768)","(3.513157894736842, 7.311658716433336)","(4.1644736842105265, 5.508598636088674)"
5,"(0.659183144569397, 0.07568372786045074, 0.2651331126689911)","(0.5, 0.0, 0.5)",,,,"(3.3684210526315788, 6.9241037901232305)","(25.5, 10.641898326896381)","(5.355263157894737, 9.014175893336622)","(4.0, 8.243019375268545)","(4.3618421052631575, 5.891898253339142)"
6,"(0.7177774310112, 0.06052892655134201, 0.22169366478919983)","(0.6, 0.0, 0.4)",,,,"(2.4210526315789473, 5.912215627732876)","(25.86842105263158, 10.463397487461203)","(6.223684210526316, 9.778600002328563)","(3.8552631578947367, 7.966548396375971)","(4.322368421052632, 5.825705258507571)"
7,"(0.7060500383377075, 0.06391149014234543, 0.23003844916820526)","(0.7, 0.0, 0.3)",,,,"(3.3684210526315788, 6.9241037901232305)","(25.5, 10.641898326896381)","(5.355263157894737, 9.014175893336622)","(2.1710526315789473, 5.715602279574966)","(4.3618421052631575, 5.891898253339142)"
8,"(0.8198301792144775, 0.03769604116678238, 0.14247378706932068)","(0.8, 0.0, 0.2)",,,,"(1.1710526315789473, 3.6792024232045355)","(25.539473684210527, 10.399191250782923)","(7.2105263157894735, 10.536048132450205)","(3.1710526315789473, 6.7265932526579615)","(3.8289473684210527, 5.64669945024883)"
9,"(0.8628538250923157, 0.013314121402800083, 0.12383200973272324)","(0.9, 0.0, 0.1)",,,,"(0.9605263157894737, 3.9948677254753155)","(25.93421052631579, 10.592121608356138)","(7.342105263157895, 10.582449014609729)","(1.881578947368421, 4.773741513031576)","(3.0592105263157894, 5.391859791232544)"
10,"(0.9595772624015808, 0.011157701723277569, 0.029265088960528374)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(25.605263157894736, 10.578129059736044)","(8.013157894736842, 10.87790302577786)","(0.0, 0.0)","(0.0, 0.0)"
