,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.1, 0.0, 0.9)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
4,"Expert (0.2, 0.0, 0.8)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
5,"Expert (0.3, 0.0, 0.7)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
6,"Expert (0.4, 0.0, 0.6)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
7,"Expert (0.5, 0.0, 0.5)","(0.3980520427047802, 0.11712002303574238)","(0.5972686400642775, 0.2244136203170472)","(0.21310153326722733, 0.10448701806050285)"
8,"Expert (0.6, 0.0, 0.4)","(0.3948829037307357, 0.11305780554384966)","(0.5965882309191282, 0.22650016827855843)","(0.21381368306289292, 0.10597844357750415)"
9,"Expert (0.7, 0.0, 0.3)","(0.3931710129691055, 0.111248980167306)","(0.6017781746898101, 0.22830872830397714)","(0.2144473394670824, 0.10596595773625042)"
10,"Expert (0.8, 0.0, 0.2)","(0.39092306867257176, 0.11051451372487685)","(0.6121016113387381, 0.2309548890606873)","(0.21553179161204944, 0.10562750259119182)"
11,"Expert (0.9, 0.0, 0.1)","(0.3880606589426813, 0.10954081228573005)","(0.6239780059157439, 0.23547180240145732)","(0.21815866834559097, 0.1066363580993204)"
12,"Expert (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.1, 0.0, 0.9)","(0.40084441496858886, 0.12000778581747744)","(0.5880069370103133, 0.21768690089236822)","(0.21573811287556674, 0.10674552369389848)"
15,"Society (0.2, 0.0, 0.8)","(0.398891267913553, 0.11891743034055395)","(0.5923254070430152, 0.21580354666266155)","(0.21850637501147027, 0.11012625661926098)"
16,"Society (0.3, 0.0, 0.7)","(0.39725907582216774, 0.11644678539377681)","(0.591895273992199, 0.21683273697992939)","(0.21924519768945175, 0.11037179531165253)"
17,"Society (0.4, 0.0, 0.6)","(0.3944094059006985, 0.1150026594475001)","(0.5978534571106904, 0.21722712222722831)","(0.2240220669216605, 0.11462791425000711)"
18,"Society (0.5, 0.0, 0.5)","(0.3930280761033492, 0.11421151882114261)","(0.5921153394243064, 0.21460010924637327)","(0.22832154442179386, 0.12249871509397929)"
19,"Society (0.6, 0.0, 0.4)","(0.3919007147973293, 0.11429331778281432)","(0.5980658154807891, 0.21863920837088638)","(0.22806492394179498, 0.11900209905245895)"
20,"Society (0.7, 0.0, 0.3)","(0.3898195659268439, 0.11188648369509532)","(0.5966684969533067, 0.221611657234257)","(0.23161652345780137, 0.12469467044726452)"
