,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.1, 0.0, 0.9)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
4,"Expert (0.2, 0.0, 0.8)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
5,"Expert (0.3, 0.0, 0.7)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
6,"Expert (0.4, 0.0, 0.6)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
7,"Expert (0.5, 0.0, 0.5)","(0.3980520427047802, 0.11712002303574238)","(0.5972686400642775, 0.2244136203170472)","(0.21310153326722733, 0.10448701806050285)"
8,"Expert (0.6, 0.0, 0.4)","(0.3948829037307357, 0.11305780554384966)","(0.5965882309191282, 0.22650016827855843)","(0.21381368306289292, 0.10597844357750415)"
9,"Expert (0.7, 0.0, 0.3)","(0.3931710129691055, 0.111248980167306)","(0.6017781746898101, 0.22830872830397714)","(0.2144473394670824, 0.10596595773625042)"
10,"Expert (0.8, 0.0, 0.2)","(0.39092306867257176, 0.11051451372487685)","(0.6121016113387381, 0.2309548890606873)","(0.21553179161204944, 0.10562750259119182)"
11,"Expert (0.9, 0.0, 0.1)","(0.3880606589426813, 0.10954081228573005)","(0.6239780059157439, 0.23547180240145732)","(0.21815866834559097, 0.1066363580993204)"
12,"Expert (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.1, 0.0, 0.9)","(0.40026163539625587, 0.11926475138613743)","(0.588763200709218, 0.2176838298001634)","(0.21654099952774186, 0.10876879165531794)"
15,"Society (0.2, 0.0, 0.8)","(0.39873885831345285, 0.11829315544510986)","(0.5916682070354383, 0.21470035897859124)","(0.21828237141851692, 0.10994409335814243)"
16,"Society (0.3, 0.0, 0.7)","(0.3971698556345042, 0.11785028866198058)","(0.589595403133985, 0.21462861865686125)","(0.2219156952548809, 0.11508500437230403)"
17,"Society (0.4, 0.0, 0.6)","(0.3952522966620132, 0.11665982781231389)","(0.5961050422752268, 0.2198552788564067)","(0.22351584552594242, 0.11296562785825043)"
18,"Society (0.5, 0.0, 0.5)","(0.3929104681960062, 0.1138863835021401)","(0.5975689413378668, 0.2188941024529617)","(0.22517965873864196, 0.11557222679700152)"
19,"Society (0.6, 0.0, 0.4)","(0.39140845850771777, 0.11430430283312285)","(0.5916841584309479, 0.22097998527933074)","(0.23074805280867672, 0.12576970234566912)"
20,"Society (0.7, 0.0, 0.3)","(0.3894137621768382, 0.11204799899177005)","(0.5979387563002667, 0.2203751292212655)","(0.23179387299858623, 0.12444827038619202)"
