,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
3,"Expert (0.1, 0.0, 0.9)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
4,"Expert (0.2, 0.0, 0.8)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
5,"Expert (0.3, 0.0, 0.7)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
6,"Expert (0.4, 0.0, 0.6)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
7,"Expert (0.5, 0.0, 0.5)","(0.3980520427047802, 0.11712002303574238)","(0.5972686400642775, 0.2244136203170472)","(0.21310153326722733, 0.10448701806050285)"
8,"Expert (0.6, 0.0, 0.4)","(0.3948829037307357, 0.11305780554384966)","(0.5965882309191282, 0.22650016827855843)","(0.21381368306289292, 0.10597844357750415)"
9,"Expert (0.7, 0.0, 0.3)","(0.3931710129691055, 0.111248980167306)","(0.6017781746898101, 0.22830872830397714)","(0.2144473394670824, 0.10596595773625042)"
10,"Expert (0.8, 0.0, 0.2)","(0.39092306867257176, 0.11051451372487685)","(0.6121016113387381, 0.2309548890606873)","(0.21553179161204944, 0.10562750259119182)"
11,"Expert (0.9, 0.0, 0.1)","(0.3880606589426813, 0.10954081228573005)","(0.6239780059157439, 0.23547180240145732)","(0.21815866834559097, 0.1066363580993204)"
12,"Expert (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
13,"Society (0.0, 0.0, 1.0)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
14,"Society (0.1, 0.0, 0.9)","(0.3997730849519078, 0.11924895564446034)","(0.5885983577187672, 0.21809184485307273)","(0.2173758026440689, 0.10782386278394473)"
15,"Society (0.2, 0.0, 0.8)","(0.3993471935728418, 0.11952342446275369)","(0.5863955813425205, 0.21782365659186906)","(0.21871696374559849, 0.10937023014619812)"
16,"Society (0.3, 0.0, 0.7)","(0.3974841362231497, 0.11826166744900325)","(0.5947731847538978, 0.21410647953822187)","(0.2211342914900773, 0.11024585433050545)"
17,"Society (0.4, 0.0, 0.6)","(0.3949471004406836, 0.11525783848465869)","(0.5936151921525092, 0.21563146548174672)","(0.22410592145997246, 0.11598438862654638)"
18,"Society (0.5, 0.0, 0.5)","(0.39284940613372443, 0.11465118346019533)","(0.5939511292193952, 0.21626336708176883)","(0.2279474658169324, 0.12031315473401734)"
19,"Society (0.6, 0.0, 0.4)","(0.39043655932243715, 0.11301362829364259)","(0.5927363760461862, 0.22133711496547506)","(0.23121830245524364, 0.12452597187887758)"
20,"Society (0.7, 0.0, 0.3)","(0.38982404603800536, 0.11170652136213952)","(0.5973415905777074, 0.22364186764859445)","(0.23059902576389602, 0.12311148311531438)"
