,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.003280949080362916, 0.9944015145301819, 0.002317466540262103)","(0.0, 1.0, 0.0)","(0.9774436146104183, 0.09389923782211358)","(0.9988568658594266, 0.004605943383209525)","(0.9719623705478986, 0.11607843835328244)","(0.643051230436187, 0.15629435120560303)","(0.9988568658594266, 0.004605943383209525)","(0.26665780078014284, 0.2054688867679948)","(0.9988568658594266, 0.004605943383209525)","(0.9988568658594266, 0.004605943383209525)"
1,"(0.013799915090203285, 0.9817714691162109, 0.00442870706319809)","(0.1, 0.9, 0.0)","(0.9571367377663057, 0.10957653104950793)","(0.9908091735651692, 0.026966383459141784)","(0.9405498796998003, 0.17183651491664664)","(0.6484378763164914, 0.16033012904723987)","(0.9986133702879982, 0.0050104665696586136)","(0.2748215237237505, 0.21357964309690824)","(0.9862553912709898, 0.03928700047504339)","(0.9061847703778563, 0.09415664236557007)"
2,"(0.2579191327095032, 0.7340569496154785, 0.008023904636502266)","(0.2, 0.8, 0.0)","(0.9582631143746569, 0.08897480128049956)","(0.9695289737379393, 0.062490343719020895)","(0.91529855631612, 0.20553231671441485)","(0.7181620922317744, 0.16113635340051086)","(0.9620547220498623, 0.06022215747219359)","(0.3549061651577296, 0.27509322300224226)","(0.9670141041181811, 0.06790649015667638)","(0.8608359991864681, 0.09535430255122779)"
3,"(0.3347560465335846, 0.6568486094474792, 0.008395370095968246)","(0.3, 0.7, 0.0)","(0.9547636492582185, 0.10710747290203164)","(0.9529667946747629, 0.11084879894457128)","(0.9201459866565833, 0.185887140027465)","(0.7705075258713459, 0.16192891547465563)","(0.9193657472284569, 0.10641744671384333)","(0.43266263648238035, 0.3096964215099773)","(0.9531290976198795, 0.10957087665091458)","(0.7993827555485753, 0.12431570845319241)"
4,"(0.4340909719467163, 0.5602169036865234, 0.005692108068615198)","(0.4, 0.6, 0.0)","(0.9438469737957996, 0.115704589538555)","(0.9297792096587663, 0.1365620338467429)","(0.8732572317748162, 0.24651625402344599)","(0.8149257544374212, 0.14981409587883127)","(0.8692071814522702, 0.14344827551923137)","(0.4870175259963742, 0.316631388324774)","(0.9349273852262275, 0.12809513705441855)","(0.8023552104996226, 0.10758063191405087)"
5,"(0.6031567454338074, 0.3917706608772278, 0.005072580184787512)","(0.5, 0.5, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9085856025156689, 0.10712766885467753)","(0.7552941045639799, 0.18184295172129072)","(0.6675968582241181, 0.30887282058028637)","(1.0, 0.0)","(0.7907204271773821, 0.12306372872902564)"
6,"(0.6280409097671509, 0.3685966432094574, 0.0033625150099396706)","(0.6, 0.4, 0.0)","(0.9659150018179478, 0.07571803983648663)","(0.9346672733579474, 0.14045540237592433)","(0.9000819333650271, 0.21515805905771976)","(0.9167788264753894, 0.10337936859644704)","(0.7412123157279512, 0.18834627437889584)","(0.6900281136962123, 0.30179481630789406)","(0.9513092244791622, 0.10610794554098983)","(0.7983481376745967, 0.11129511098782928)"
7,"(0.6820614337921143, 0.3153199851512909, 0.0026186348404735327)","(0.7, 0.3, 0.0)","(0.9593836382147527, 0.06918328997359888)","(0.9071577115219392, 0.16155092119411094)","(0.8689133450311848, 0.2425418583132774)","(0.9414107362339987, 0.07581764184743646)","(0.692475121298204, 0.17985782401774314)","(0.7536345101012707, 0.2719295810228465)","(0.9398678341965815, 0.10450997576097992)","(0.8389121856384731, 0.10579822309659374)"
8,"(0.806769073009491, 0.1911698281764984, 0.0020610725041478872)","(0.8, 0.2, 0.0)","(0.990422427109873, 0.03042658217793078)","(0.9651801118982501, 0.10236444268467171)","(0.9692537917436553, 0.11411446219833399)","(0.9817214601464288, 0.034068189026764846)","(0.6244711511070871, 0.19809655690058606)","(0.872309891939452, 0.20404873586225897)","(0.9839545441535106, 0.049174965301164913)","(0.8870416889665595, 0.07873039993032366)"
9,"(0.8916186690330505, 0.10696633160114288, 0.0014149905182421207)","(0.9, 0.1, 0.0)","(0.99587159881846, 0.012032665292321073)","(0.9690032891058862, 0.08103165711240574)","(0.9847518508764584, 0.053244307432943574)","(0.9929310527243258, 0.01527292704151191)","(0.5943031651311861, 0.20041083628133638)","(0.8917172819241739, 0.17584182932449477)","(0.9924964607644301, 0.02081924876314216)","(0.9298468880532592, 0.06345812837962297)"
10,"(0.9605440497398376, 0.010968009941279888, 0.02848791517317295)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5531167947007112, 0.20616171782951725)","(0.9237480948129704, 0.13574958522696715)","(1.0, 0.0)","(1.0, 0.0)"
