,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.003280949080362916, 0.9944015145301819, 0.002317466540262103)","(0.0, 1.0, 0.0)","(0.9648223, 0.14232159)","(0.9656578, 0.13931738)","(0.96428883, 0.14583407)","(0.22013742, 0.23564003)","(0.9656578, 0.13931738)","(0.15284348, 0.21838547)","(0.9656578, 0.13931738)","(0.9656578, 0.13931738)"
1,"(0.013799915090203285, 0.9817714691162109, 0.00442870706319809)","(0.1, 0.9, 0.0)","(0.88970304, 0.23377067)","(0.9048233, 0.20420207)","(0.8851527, 0.2487718)","(0.22666244, 0.24823289)","(0.96098566, 0.14396375)","(0.16119952, 0.23002665)","(0.9022911, 0.20772946)","(0.8826375, 0.14640456)"
2,"(0.2579191327095032, 0.7340569496154785, 0.008023904636502266)","(0.2, 0.8, 0.0)","(0.90717775, 0.19160143)","(0.92328644, 0.15251474)","(0.89116305, 0.23865181)","(0.29222345, 0.297607)","(0.7619138, 0.28100172)","(0.23286887, 0.29979107)","(0.91910505, 0.16143346)","(0.66573364, 0.23521239)"
3,"(0.3347560465335846, 0.6568486094474792, 0.008395370095968246)","(0.3, 0.7, 0.0)","(0.8861306, 0.2636577)","(0.8871436, 0.25634643)","(0.8832471, 0.2742715)","(0.3671555, 0.34697908)","(0.69929254, 0.29487264)","(0.313046, 0.35225695)","(0.8870411, 0.2577003)","(0.56993407, 0.21899584)"
4,"(0.4340909719467163, 0.5602169036865234, 0.005692108068615198)","(0.4, 0.6, 0.0)","(0.8347295, 0.3048591)","(0.8582114, 0.2668817)","(0.81467515, 0.3395989)","(0.43488201, 0.3589522)","(0.6024703, 0.3228612)","(0.349588, 0.3541496)","(0.8472778, 0.28318033)","(0.5404968, 0.22006181)"
5,"(0.6031567454338074, 0.3917706608772278, 0.005072580184787512)","(0.5, 0.5, 0.0)","(1.0, 5.5964254e-08)","(1.0, 6.593481e-08)","(1.0, 6.3772426e-08)","(0.58917624, 0.37376046)","(0.43913898, 0.29889053)","(0.5262963, 0.3818175)","(1.0, 7.105345e-08)","(0.4968603, 0.22655031)"
6,"(0.6280409097671509, 0.3685966432094574, 0.0033625150099396706)","(0.6, 0.4, 0.0)","(0.8668675, 0.24519174)","(0.87531984, 0.23192006)","(0.8550437, 0.26855582)","(0.5918069, 0.3724362)","(0.42981595, 0.2993729)","(0.54753804, 0.3784727)","(0.870815, 0.23865497)","(0.49863344, 0.24388896)"
7,"(0.6820614337921143, 0.3153199851512909, 0.0026186348404735327)","(0.7, 0.3, 0.0)","(0.8005374, 0.29604852)","(0.80764717, 0.28912452)","(0.78104573, 0.3311476)","(0.63770694, 0.3610872)","(0.38448486, 0.26849505)","(0.6129195, 0.36804423)","(0.80325717, 0.29234448)","(0.53883326, 0.26774153)"
8,"(0.806769073009491, 0.1911698281764984, 0.0020610725041478872)","(0.8, 0.2, 0.0)","(0.92822176, 0.20949787)","(0.9272259, 0.20960253)","(0.9250808, 0.21978092)","(0.789909, 0.31514236)","(0.31622067, 0.24586326)","(0.7210084, 0.32608443)","(0.9283795, 0.20809583)","(0.6855536, 0.26660034)"
9,"(0.8916186690330505, 0.10696633160114288, 0.0014149905182421207)","(0.9, 0.1, 0.0)","(0.9325246, 0.19495963)","(0.92408675, 0.20432752)","(0.9335581, 0.18710868)","(0.8727681, 0.25463885)","(0.29267257, 0.24663313)","(0.71149665, 0.32927802)","(0.9316017, 0.19580013)","(0.80482054, 0.2389666)"
10,"(0.9605440497398376, 0.010968009941279888, 0.02848791517317295)","(1.0, 0.0, 0.0)","(1.0, 5.2069968e-08)","(1.0, 5.554504e-08)","(1.0, 5.80149e-08)","(1.0, 5.2069968e-08)","(0.2656385, 0.24339676)","(0.72588277, 0.3276126)","(1.0, 5.2069968e-08)","(1.0, 5.7203465e-08)"
