,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0007149421726353467, 0.9985135197639465, 0.0007715689716860652)","(0.0, 1.0, 0.0)",,,,"(25.605263157894736, 10.578129059736044)","(0.0, 0.0)","(25.69736842105263, 10.514425850683864)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.04799046739935875, 0.9293205738067627, 0.022688956931233406)","(0.1, 0.9, 0.0)",,,,"(23.289473684210527, 10.854074895091468)","(4.315789473684211, 8.028256883487076)","(23.61842105263158, 11.262381613681377)","(0.0, 0.0)","(9.138157894736842, 8.000246165707111)"
2,"(0.28418171405792236, 0.692162275314331, 0.02365601249039173)","(0.2, 0.8, 0.0)",,,,"(19.776315789473685, 12.03897036624081)","(10.013157894736842, 11.213823026506443)","(20.105263157894736, 12.330513016356512)","(0.3157894736842105, 2.3181805837416047)","(14.026315789473685, 8.676531692794448)"
3,"(0.37240785360336304, 0.6117374897003174, 0.01585475727915764)","(0.3, 0.7, 0.0)",,,,"(17.276315789473685, 12.01161574237131)","(12.328947368421053, 11.472378909334157)","(17.86842105263158, 12.049614653440123)","(0.2631578947368421, 1.6007269816574263)","(14.546052631578947, 7.172763557364867)"
4,"(0.49583670496940613, 0.4932519197463989, 0.010911375284194946)","(0.4, 0.6, 0.0)",,,,"(14.710526315789474, 11.9161718833932)","(16.94736842105263, 11.072601007658148)","(14.276315789473685, 11.474913924927174)","(0.6052631578947368, 3.1833404639930194)","(15.828947368421053, 7.754265647633696)"
5,"(0.6277361512184143, 0.3645336925983429, 0.007730142213404179)","(0.5, 0.5, 0.0)",,,,"(11.56578947368421, 11.888003159217844)","(20.38157894736842, 12.005445151946633)","(11.052631578947368, 11.65952822107096)","(0.9078947368421053, 3.476150440308432)","(15.973684210526315, 8.045877800742907)"
6,"(0.7045666575431824, 0.2869296371936798, 0.008503669872879982)","(0.6, 0.4, 0.0)",,,,"(9.328947368421053, 11.817012889423825)","(22.223684210526315, 11.644513824804644)","(9.236842105263158, 11.264602711069182)","(0.0, 0.0)","(15.776315789473685, 7.943217371825253)"
7,"(0.7831709384918213, 0.21356835961341858, 0.0032607249449938536)","(0.7, 0.3, 0.0)",,,,"(6.2368421052631575, 9.85135366206438)","(24.05263157894737, 10.879597923155483)","(6.75, 9.77392476250753)","(0.39473684210526316, 2.4010904724861395)","(15.296052631578947, 7.481634369530175)"
8,"(0.8895995616912842, 0.10094133764505386, 0.009459109045565128)","(0.8, 0.2, 0.0)",,,,"(3.460526315789474, 7.700719018845072)","(24.67105263157895, 10.76469394521145)","(7.421052631578948, 9.972677355094211)","(0.75, 3.8700095199121316)","(13.526315789473685, 6.859921136976735)"
9,"(0.9460870027542114, 0.053309448063373566, 0.0006035714177414775)","(0.9, 0.1, 0.0)",,,,"(1.486842105263158, 5.637033143354735)","(25.38157894736842, 10.657301802869782)","(7.394736842105263, 10.420221923296447)","(1.4473684210526316, 4.5808374804352825)","(9.552631578947368, 8.078390174510906)"
10,"(0.9697346091270447, 0.009724294766783714, 0.02054104022681713)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(25.605263157894736, 10.578129059736044)","(8.013157894736842, 10.87790302577786)","(0.0, 0.0)","(0.0, 0.0)"
