,Policy,sus,sec,eff
0,Exp + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
1,VL + P,"(0.38340658292566476, 0.1080219872976395)","(0.2970280264945407, 0.09709416686675408)","(0.21256572568151905, 0.10409788470733876)"
2,"Expert (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
3,"Expert (0.1, 0.9, 0.0)","(0.5997810426090023, 0.21683748145157794)","(0.3004431047016911, 0.09788985179205827)","(0.9557645724118246, 0.4881103442363582)"
4,"Expert (0.2, 0.8, 0.0)","(0.5386636767063081, 0.1882669979747621)","(0.3214199368397347, 0.10795520419051961)","(0.7816812633628663, 0.44467556122111324)"
5,"Expert (0.3, 0.7, 0.0)","(0.49543453255395625, 0.17013269470370498)","(0.34725509145611894, 0.1210871396176568)","(0.6600720688208974, 0.39321040395947743)"
6,"Expert (0.4, 0.6, 0.0)","(0.4576240683083214, 0.1543664877415656)","(0.3853666702242136, 0.144524532881568)","(0.5246278974181654, 0.34237421494184445)"
7,"Expert (0.5, 0.5, 0.0)","(0.4307405452564126, 0.134484159387631)","(0.42350757977749853, 0.18607713817556162)","(0.431237545758593, 0.28837883131666564)"
8,"Expert (0.6, 0.4, 0.0)","(0.40796252717279313, 0.12156062349063294)","(0.4699519025872226, 0.1981772103672371)","(0.33666068736362686, 0.21896716045529785)"
9,"Expert (0.7, 0.3, 0.0)","(0.39177192927347376, 0.11198681634514414)","(0.5209655385006045, 0.21134339651337358)","(0.27841036193268864, 0.18388080147985933)"
10,"Expert (0.8, 0.2, 0.0)","(0.3874378214723516, 0.11089822494155561)","(0.5445876300002152, 0.21897924766794713)","(0.2664179474783228, 0.1753526281724663)"
11,"Expert (0.9, 0.1, 0.0)","(0.38480329057308965, 0.10911176290877615)","(0.5719020252809538, 0.22751760999194462)","(0.2628174377486606, 0.1728627161063547)"
12,"Expert (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
13,"Society (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
14,"Society (0.1, 0.9, 0.0)","(0.6312266580023692, 0.21862702459581923)","(0.3289765794888234, 0.10631596556955587)","(1.0080481164516975, 0.48120393526067634)"
15,"Society (0.2, 0.8, 0.0)","(0.6063432649383016, 0.20901552447066138)","(0.35180756103972705, 0.11256637579753664)","(0.9340108135983954, 0.4574621337316438)"
16,"Society (0.3, 0.7, 0.0)","(0.5795910632697326, 0.19550900696889972)","(0.3850274103435176, 0.1356501054700938)","(0.8478907514820765, 0.417978050528708)"
17,"Society (0.4, 0.6, 0.0)","(0.5423795016330826, 0.17193680443821358)","(0.41277949199854785, 0.14219131910071503)","(0.7390401063396176, 0.3402422968573797)"
18,"Society (0.5, 0.5, 0.0)","(0.5193173567321775, 0.1597274547427288)","(0.4497953303826523, 0.15898678036627392)","(0.662963205805442, 0.3138050338155642)"
19,"Society (0.6, 0.4, 0.0)","(0.48841463344563785, 0.1480699313045307)","(0.47730794894577183, 0.1606504171148622)","(0.569471176965951, 0.2685218623653906)"
20,"Society (0.7, 0.3, 0.0)","(0.4630590058832526, 0.13331534731992487)","(0.5164045073783966, 0.20295473378822476)","(0.4877354984286954, 0.2453719833268925)"
