,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9558586803103158, 0.0674166252054203)","(0.5596067121899031, 0.20483210958104814)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.0, 0.1, 0.9)","(0.0, 0.1, 0.9)","(0.98388562113924, 0.06319701956280477)","(0.9830077032936461, 0.059313321941869314)","(0.997616214739286, 0.008406282153245187)","(0.9462489365098495, 0.08193084714359715)","(0.5690238546945893, 0.20324953049411748)","(0.997616214739286, 0.008406282153245187)","(0.9958106330515931, 0.014741477333944271)","(0.7848357058804635, 0.21297212325860507)"
2,"(0.0, 0.2, 0.8)","(0.0, 0.2, 0.8)","(0.9825427316649309, 0.06457760810715253)","(0.9821101237355324, 0.060320056503273184)","(0.9970381009163964, 0.01007925927367685)","(0.9445084738019309, 0.08221279422540839)","(0.5718438212416518, 0.20463022784269141)","(0.9967689473498638, 0.010267927214397794)","(0.9934673137108135, 0.022300375187150563)","(0.653759918432374, 0.20212880727399504)"
3,"(0.0, 0.3, 0.7)","(0.0, 0.3, 0.7)","(0.9800480659726963, 0.06653042312508219)","(0.9654071103699202, 0.1005907184817281)","(0.9857046522870706, 0.0457200883086303)","(0.940770584391594, 0.09008781626018494)","(0.5882329376160307, 0.21106530867897783)","(0.9848694878507466, 0.045651349988204984)","(0.978340760971014, 0.06447358827840567)","(0.5784819379059397, 0.18755349021089032)"
4,"(0.0, 0.4, 0.6)","(0.0, 0.4, 0.6)","(0.9751270197689056, 0.05341677278316145)","(0.9203694571735669, 0.16238653508738582)","(0.9389204750596244, 0.13397660581469256)","(0.9520396070586662, 0.07422280064475958)","(0.6225727653179415, 0.20644776476032442)","(0.9377917804162902, 0.13354931508592133)","(0.9297154875050014, 0.14538635150554513)","(0.5496864554300792, 0.1895381647630359)"
5,"(0.0, 0.5, 0.5)","(0.0, 0.5, 0.5)","(0.9653373740528778, 0.06907990184706385)","(0.9005069040766968, 0.17418814480043432)","(0.9077648471455307, 0.1677452567969701)","(0.9562395598516228, 0.06818406528712803)","(0.6387546866940266, 0.20604316925875998)","(0.9060991939570929, 0.16744581503529232)","(0.9017977019556248, 0.16978338601619739)","(0.5423371364730932, 0.18510452634802493)"
6,"(0.0, 0.6, 0.4)","(0.0, 0.6, 0.4)","(0.9550632596828512, 0.07581014677186644)","(0.8708616799789466, 0.18551159106070175)","(0.8555041710535171, 0.2097232680787576)","(0.9455407587320671, 0.0778913268277542)","(0.6637861061435896, 0.19973798627720035)","(0.8531101707782413, 0.20875432950284079)","(0.8609896005895806, 0.1949081775784738)","(0.5707193949554429, 0.21072897909811414)"
7,"(0.0, 0.7, 0.3)","(0.0, 0.7, 0.3)","(0.9021737898774149, 0.10953410305285148)","(0.7786285502378355, 0.21792125425146686)","(0.6980298113423922, 0.2900981560468019)","(0.8947791831537991, 0.11034466929882718)","(0.7444771661484881, 0.17724257356845557)","(0.695626432039177, 0.2889268684292988)","(0.7409758147890342, 0.24405636064869723)","(0.6456233339487703, 0.19032848499749186)"
8,"(0.0, 0.8, 0.2)","(0.0, 0.8, 0.2)","(0.8463227826860639, 0.1443340001655091)","(0.689132629065082, 0.22369142094644054)","(0.5417946029414146, 0.3187050252024549)","(0.8279946296321619, 0.14745568607916817)","(0.8458655215569205, 0.1399246941097405)","(0.5351739069006721, 0.31399943140733366)","(0.6353900065013568, 0.2530849560723161)","(0.7597683290292363, 0.16893906895577848)"
9,"(0.0, 0.9, 0.1)","(0.0, 0.9, 0.1)","(0.7418853342584808, 0.1708855200718854)","(0.6531052532179737, 0.21388470892783434)","(0.3930423384725455, 0.29374437646981977)","(0.713047355628705, 0.16906135202354172)","(0.9754785767663539, 0.04670157491505427)","(0.3494447399741134, 0.26944746674862025)","(0.5917595832846834, 0.22381708030897476)","(0.8809122417853354, 0.11357450989821619)"
10,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.6394493700829305, 0.17112841827739125)","(1.0, 0.0)","(0.26005082119836903, 0.19780588650577655)","(1.0, 0.0)","(1.0, 0.0)"
