,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9558586803103158, 0.0674166252054203)","(0.5596067121899031, 0.20483210958104814)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.1, 0.9)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9558586803103158, 0.0674166252054203)","(0.5596067121899031, 0.20483210958104814)","(1.0, 0.0)","(1.0, 0.0)","(0.7700515939952235, 0.2040712134651691)"
2,"(0.04794963821768761, 0.028978191316127777, 0.9230722188949585)","(0.0, 0.2, 0.8)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9554142919330525, 0.06723526345952914)","(0.5608919933360658, 0.20376978917714897)","(0.9997308464334673, 0.002330938261364598)","(1.0, 0.0)","(0.663129933115027, 0.21268272091311627)"
3,"(0.001709706848487258, 0.03501235693693161, 0.9632779955863953)","(0.0, 0.3, 0.7)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9479380562137562, 0.07717355293687292)","(0.5630271099298986, 0.20233579553288547)","(0.9991648355636761, 0.0041949031962699385)","(1.0, 0.0)","(0.579570289230122, 0.2014995497416838)"
4,"(0.002278180094435811, 0.0518326461315155, 0.9458891749382019)","(0.0, 0.4, 0.6)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9480616275043937, 0.07724926029779108)","(0.564190335252414, 0.20225245646721726)","(0.9988713053566658, 0.004854783159768804)","(1.0, 0.0)","(0.5349597858258821, 0.18282858706029437)"
5,"(0.0010955568868666887, 0.0844297781586647, 0.9144746661186218)","(0.0, 0.5, 0.5)","(0.992797953345855, 0.04439011623695462)","(0.993538348318114, 0.04355789554756911)","(0.9988478485289906, 0.007026546528255277)","(0.9501106716521469, 0.07340276897598226)","(0.5684461794576086, 0.2039659041694257)","(0.9981512037033073, 0.007153863396727156)","(0.9957560755954722, 0.02845975367182147)","(0.5074787803387689, 0.1826871484187637)"
6,"(0.0040326728485524654, 0.12200377881526947, 0.8739635348320007)","(0.0, 0.6, 0.4)","(0.9982361297202544, 0.015275564712399303)","(0.9993632871727979, 0.005514094832724193)","(0.9998601757019261, 0.001210913941984078)","(0.9462489365098495, 0.08193084714359715)","(0.5690238546945893, 0.20324953049411748)","(0.997616214739286, 0.008406282153245187)","(0.9995574202180929, 0.0038328533433288747)","(0.490669484750391, 0.1726434774621698)"
7,"(0.006724543869495392, 0.15210629999637604, 0.8411691188812256)","(0.0, 0.7, 0.3)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9445084738019309, 0.08221279422540839)","(0.5718438212416518, 0.20463022784269141)","(0.9967689473498638, 0.010267927214397794)","(1.0, 0.0)","(0.48998699353355785, 0.16335120179166596)"
8,"(0.004529362078756094, 0.2930210828781128, 0.7024495601654053)","(0.0, 0.8, 0.2)","(0.9982866221403544, 0.010554301115002718)","(0.9890754605196094, 0.066955514481968)","(0.9944101830514143, 0.03405464106741971)","(0.940770584391594, 0.09008781626018494)","(0.5882329376160307, 0.21106530867897783)","(0.9848694878507466, 0.045651349988204984)","(0.9898998022197285, 0.061896478124719115)","(0.5042889915895803, 0.1783059562801479)"
9,"(0.10334214568138123, 0.4601602852344513, 0.4364974796772003)","(0.0, 0.9, 0.1)","(0.9971955028677564, 0.0144225127354635)","(0.9909235046509665, 0.04134199823000689)","(0.9821664085962805, 0.0823325648264925)","(0.9567778374572818, 0.06836007217919586)","(0.6421768039810973, 0.20936454170662117)","(0.8988918945823091, 0.1715762132676201)","(0.9897819830553778, 0.046716114028004144)","(0.5901948326265718, 0.19389954963894826)"
10,"(0.000727725331671536, 0.998508632183075, 0.0007635505171492696)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.6394493700829305, 0.17112841827739125)","(1.0, 0.0)","(0.26005082119836903, 0.19780588650577655)","(1.0, 0.0)","(1.0, 0.0)"
