,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.0110248988494277, 0.012387100607156754, 0.9765880107879639)","(0.0, 0.1, 0.9)",0.0,0.0,0.0,0.0,0.0
1,"(0.02584165893495083, 0.031440816819667816, 0.9427175521850586)","(0.0, 0.2, 0.8)",0.0,0.0,0.0,0.0,0.0
2,"(0.005276108626276255, 0.036265354603528976, 0.9584584832191467)","(0.0, 0.3, 0.7)",0.0,0.0,0.0,0.0,0.0
3,"(0.02568773180246353, 0.07217171788215637, 0.9021405577659607)","(0.0, 0.4, 0.6)",0.0,0.0,0.0,0.0,0.0
4,"(0.02202601358294487, 0.13829798996448517, 0.839676022529602)","(0.0, 0.5, 0.5)",0.0,0.0,0.0,0.0,0.0
5,"(0.009882395155727863, 0.138974130153656, 0.851143479347229)","(0.0, 0.6, 0.4)",0.0,0.0,0.0,0.0,0.0
6,"(0.022328902035951614, 0.17220471799373627, 0.8054664134979248)","(0.0, 0.7, 0.3)",0.0,0.0,0.0,0.0,0.0
7,"(0.010189149528741837, 0.27424341440200806, 0.715567409992218)","(0.0, 0.8, 0.2)",0.0,0.0,0.0,0.0,0.0
8,"(0.12720303237438202, 0.38183197379112244, 0.49096497893333435)","(0.0, 0.9, 0.1)",0.0,0.0,0.0,0.0,0.0
9,"(0.0027709247078746557, 0.9938648343086243, 0.0033642041962593794)","(0.0, 1.0, 0.0)",0.0,0.0,0.0,0.0,0.0
