,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.053414396941661835, 0.038240984082221985, 0.9083446264266968)","(0.0, 0.0, 1.0)",0.0,0.0,0.0,0.0,0.0
1,"(0.6010786890983582, 0.1338883638381958, 0.26503291726112366)","(0.0, 0.1, 0.9)",0.0,0.0,0.0,0.0,0.0
2,"(0.7395800352096558, 0.23731860518455505, 0.023101387545466423)","(0.0, 0.2, 0.8)",0.0,0.0,0.0,0.0,0.0
3,"(0.6135355830192566, 0.3719164729118347, 0.014547949656844139)","(0.0, 0.3, 0.7)",0.0,0.0,0.0,0.0,0.0
4,"(0.6226340532302856, 0.36206966638565063, 0.015296242199838161)","(0.0, 0.4, 0.6)",0.0,0.0,0.0,0.0,0.0
5,"(0.4558373689651489, 0.5234377980232239, 0.020724840462207794)","(0.0, 0.5, 0.5)",0.0,0.0,0.0,0.0,0.0
6,"(0.36475345492362976, 0.6137076020240784, 0.021538900211453438)","(0.0, 0.6, 0.4)",0.0,0.0,0.0,0.0,0.0
7,"(0.28652217984199524, 0.6838105320930481, 0.029667291790246964)","(0.0, 0.7, 0.3)",0.0,0.0,0.0,0.0,0.0
8,"(0.20788350701332092, 0.7616075873374939, 0.030508965253829956)","(0.0, 0.8, 0.2)",0.0,0.0,0.0,0.0,0.0
9,"(0.06089523062109947, 0.9169565439224243, 0.02214825339615345)","(0.0, 0.9, 0.1)",0.0,0.0,0.0,0.0,0.0
10,"(0.012295168824493885, 0.9785218834877014, 0.009182986803352833)","(0.0, 1.0, 0.0)",0.0,0.0,0.0,0.0,0.0
