,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.0, 1.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.017024695873260498, 0.008413741365075111, 0.9745615720748901)","(0.0, 0.1, 0.9)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(8.56578947368421, 7.077271861975506)"
2,"(0.04794963821768761, 0.028978191316127777, 0.9230722188949585)","(0.0, 0.2, 0.8)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(11.453947368421053, 6.173573578898369)"
3,"(0.001709706848487258, 0.03501235693693161, 0.9632779955863953)","(0.0, 0.3, 0.7)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(13.125, 7.785413571139571)"
4,"(0.002278180094435811, 0.0518326461315155, 0.9458891749382019)","(0.0, 0.4, 0.6)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(13.414473684210526, 7.674885631710338)"
5,"(0.0010955568868666887, 0.0844297781586647, 0.9144746661186218)","(0.0, 0.5, 0.5)",,,,"(0.7894736842105263, 5.887801371152867)","(0.7894736842105263, 5.887801371152867)","(0.7894736842105263, 5.887801371152867)","(0.7894736842105263, 5.887801371152867)","(13.519736842105264, 7.735955351080164)"
6,"(0.0040326728485524654, 0.12200377881526947, 0.8739635348320007)","(0.0, 0.6, 0.4)",,,,"(0.2894736842105263, 2.506915642533901)","(0.2894736842105263, 2.506915642533901)","(0.2894736842105263, 2.506915642533901)","(0.2894736842105263, 2.506915642533901)","(14.177631578947368, 9.246871429445042)"
7,"(0.006724543869495392, 0.15210629999637604, 0.8411691188812256)","(0.0, 0.7, 0.3)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(14.881578947368421, 9.712941861876265)"
8,"(0.004529362078756094, 0.2930210828781128, 0.7024495601654053)","(0.0, 0.8, 0.2)",,,,"(0.3157894736842105, 1.9208723779889116)","(0.3157894736842105, 1.9208723779889116)","(0.3157894736842105, 1.9208723779889116)","(0.3157894736842105, 1.9208723779889116)","(16.414473684210527, 11.088575248370782)"
9,"(0.10334214568138123, 0.4601602852344513, 0.4364974796772003)","(0.0, 0.9, 0.1)",,,,"(0.5394736842105263, 2.347679646585473)","(0.5394736842105263, 2.347679646585473)","(0.5394736842105263, 2.347679646585473)","(0.5394736842105263, 2.347679646585473)","(17.69736842105263, 10.964979824353371)"
10,"(0.000727725331671536, 0.998508632183075, 0.0007635505171492696)","(0.0, 1.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
