,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.013789385557174683, 0.011204198002815247, 0.9750064015388489)","(0.0, 0.0, 1.0)",,,,"(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)","(0.11842105263157894, 1.0255563992184138)"
1,"(0.6954702734947205, 0.2134958952665329, 0.09103382378816605)","(0.0, 0.1, 0.9)",,,,"(6.25, 8.92531143493191)","(6.25, 8.92531143493191)","(6.25, 8.92531143493191)","(6.25, 8.92531143493191)","(11.5, 9.346403755343268)"
2,"(0.6616013646125793, 0.3289449214935303, 0.009453734382987022)","(0.0, 0.2, 0.8)",,,,"(10.302631578947368, 11.041810178687218)","(10.302631578947368, 11.041810178687218)","(10.302631578947368, 11.041810178687218)","(10.302631578947368, 11.041810178687218)","(15.092105263157896, 8.67987331883507)"
3,"(0.6487314105033875, 0.34319835901260376, 0.008070281706750393)","(0.0, 0.3, 0.7)",,,,"(10.092105263157896, 10.507112417659798)","(10.092105263157896, 10.507112417659798)","(10.092105263157896, 10.507112417659798)","(10.092105263157896, 10.507112417659798)","(15.710526315789474, 7.864085233839785)"
4,"(0.5592823028564453, 0.43100976943969727, 0.009707869030535221)","(0.0, 0.4, 0.6)",,,,"(14.026315789473685, 11.987903644716779)","(14.026315789473685, 11.987903644716779)","(14.026315789473685, 11.987903644716779)","(14.026315789473685, 11.987903644716779)","(15.796052631578947, 7.5009550407628565)"
5,"(0.5435200929641724, 0.44555234909057617, 0.010927537456154823)","(0.0, 0.5, 0.5)",,,,"(14.802631578947368, 12.911663165772687)","(14.802631578947368, 12.911663165772687)","(14.802631578947368, 12.911663165772687)","(14.802631578947368, 12.911663165772687)","(15.631578947368421, 7.443810755221871)"
6,"(0.4530845284461975, 0.5348014831542969, 0.012113926000893116)","(0.0, 0.6, 0.4)",,,,"(17.776315789473685, 13.067233714635572)","(17.776315789473685, 13.067233714635572)","(17.776315789473685, 13.067233714635572)","(17.776315789473685, 13.067233714635572)","(15.552631578947368, 7.5300184120172355)"
7,"(0.2768465280532837, 0.7114642262458801, 0.011689189821481705)","(0.0, 0.7, 0.3)",,,,"(20.763157894736842, 13.309937345193026)","(20.763157894736842, 13.309937345193026)","(20.763157894736842, 13.309937345193026)","(20.763157894736842, 13.309937345193026)","(15.072368421052632, 8.223723684115791)"
8,"(0.28607887029647827, 0.7039340138435364, 0.00998704507946968)","(0.0, 0.8, 0.2)",,,,"(20.92105263157895, 13.331564402510404)","(20.92105263157895, 13.331564402510404)","(20.92105263157895, 13.331564402510404)","(20.92105263157895, 13.331564402510404)","(14.217105263157896, 9.027492922323665)"
9,"(0.01070223655551672, 0.9849364161491394, 0.00436133099719882)","(0.0, 0.9, 0.1)",,,,"(24.223684210526315, 11.819473988886358)","(24.223684210526315, 11.819473988886358)","(24.223684210526315, 11.819473988886358)","(24.223684210526315, 11.819473988886358)","(8.986842105263158, 7.744681402594998)"
10,"(0.0031073945574462414, 0.9946551322937012, 0.0022374179679900408)","(0.0, 1.0, 0.0)",,,,"(0.6710526315789473, 3.213410050884365)","(0.6710526315789473, 3.213410050884365)","(0.6710526315789473, 3.213410050884365)","(0.6710526315789473, 3.213410050884365)","(0.6710526315789473, 3.213410050884365)"
