,Policy,sus,sec,eff
0,Exp + P,"(0.37933345070402874, 0.10738259247719333)","(0.29438669724684013, 0.095274115685527)","(0.21088042346711613, 0.10488025653881855)"
1,VL + P,"(0.37933345070402874, 0.10738259247719333)","(0.29438669724684013, 0.095274115685527)","(0.21088042346711613, 0.10488025653881855)"
2,"Expert (0.0, 0.0, 1.0)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
3,"Expert (0.0, 0.1, 0.9)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
4,"Expert (0.0, 0.2, 0.8)","(0.4004730218745719, 0.12012294359429986)","(0.5746456812163447, 0.21238323093930084)","(0.21092755016970363, 0.1048633598109665)"
5,"Expert (0.0, 0.3, 0.7)","(0.40587227395582504, 0.1306007930152218)","(0.5697313988608872, 0.20302572354688275)","(0.21108120203969424, 0.10495936980292811)"
6,"Expert (0.0, 0.4, 0.6)","(0.4058237471112271, 0.1306063622297686)","(0.5683756311175928, 0.20255135187356363)","(0.2111667089158896, 0.10502202500842699)"
7,"Expert (0.0, 0.5, 0.5)","(0.4092746275495493, 0.13539039443030607)","(0.5661673676329787, 0.20002007964859067)","(0.2113473444543687, 0.10516036421798616)"
8,"Expert (0.0, 0.6, 0.4)","(0.4083151340555081, 0.13391281860822704)","(0.5621616081227426, 0.1988792106052615)","(0.21177613842615087, 0.10659877368182087)"
9,"Expert (0.0, 0.7, 0.3)","(0.40830706753369767, 0.13391667408855815)","(0.561118674993754, 0.20030754451830823)","(0.21195454414708748, 0.10665489056412743)"
10,"Expert (0.0, 0.8, 0.2)","(0.4118710995550684, 0.13730108417645664)","(0.554653509235849, 0.2002238867459715)","(0.2140009447501047, 0.10883181372237612)"
11,"Expert (0.0, 0.9, 0.1)","(0.4014225145066647, 0.1310954061731925)","(0.5051483219010008, 0.1876754028041671)","(0.2435192454136804, 0.13603516350098982)"
12,"Expert (0.0, 1.0, 0.0)","(0.639451923090842, 0.2290246211705733)","(0.2943866973441082, 0.0952741124137503)","(1.0548109339330327, 0.5033767965672175)"
13,"Society (0.0, 0.0, 1.0)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
14,"Society (0.0, 0.1, 0.9)","(0.4241681037677489, 0.12532828122050857)","(0.5489174114327302, 0.2040730741818178)","(0.2945606135111455, 0.15465979405068853)"
15,"Society (0.0, 0.2, 0.8)","(0.44791366254748466, 0.1295166639267398)","(0.5183570067399783, 0.187083149512139)","(0.3794433328694906, 0.18974349181500857)"
16,"Society (0.0, 0.3, 0.7)","(0.4719452910891146, 0.1412663773217561)","(0.49626880465688084, 0.1740589072989006)","(0.46187797969132116, 0.22290495533374752)"
17,"Society (0.0, 0.4, 0.6)","(0.49777638912109023, 0.15418812667891885)","(0.4645022765138205, 0.1571104705737886)","(0.5499187974029491, 0.28940160169101814)"
18,"Society (0.0, 0.5, 0.5)","(0.5184287780630832, 0.16241677902934304)","(0.4290661660320199, 0.14074770721265506)","(0.6342903969012503, 0.31785799619877014)"
19,"Society (0.0, 0.6, 0.4)","(0.5433082415823408, 0.17221315578949142)","(0.4051926677769332, 0.13609862032144482)","(0.7168130043478557, 0.3522255363586252)"
20,"Society (0.0, 0.7, 0.3)","(0.5639781867199896, 0.18537044933863325)","(0.3801406674711248, 0.12287524703832549)","(0.7939119489814498, 0.3836812671849003)"
21,"Society (0.0, 0.8, 0.2)","(0.5886039371075306, 0.20320828028780924)","(0.34813738275398987, 0.11443552039407641)","(0.8820414472239608, 0.4327932569321118)"
22,"Society (0.0, 0.9, 0.1)","(0.6181822357066649, 0.22081535467220628)","(0.3234588126213087, 0.10265750493250357)","(0.9741515822290429, 0.4859900627297904)"
23,"Society (0.0, 1.0, 0.0)","(0.639451923090842, 0.2290246211705733)","(0.2943866973441082, 0.0952741124137503)","(1.0548109339330327, 0.5033767965672175)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.0, 0.0, 1.0)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
25,"Learning(0.0, 0.1, 0.9)_result_(0.0, 0.1, 0.9)","(0.40736708090806034, 0.13324839312175935)","(0.562593301416583, 0.19909446698013106)","(0.2117221419998953, 0.1065114245632257)"
26,"Learning(0.0, 0.2, 0.8)_result_(0.0, 0.2, 0.8)","(0.40830706753369767, 0.13391667408855815)","(0.561118674993754, 0.20030754451830823)","(0.21195454414708748, 0.10665489056412743)"
27,"Learning(0.0, 0.3, 0.7)_result_(0.0, 0.3, 0.7)","(0.4111498599109166, 0.1372671177946219)","(0.5493133642785802, 0.20437529406459284)","(0.21619243546745948, 0.11154683393819442)"
28,"Learning(0.0, 0.4, 0.6)_result_(0.0, 0.4, 0.6)","(0.40480880149315407, 0.13296268900572444)","(0.515420289214633, 0.1869086423150149)","(0.23526391035939972, 0.13184745627421132)"
29,"Learning(0.0, 0.5, 0.5)_result_(0.0, 0.5, 0.5)","(0.4023411179659888, 0.1310952645153463)","(0.5020627355858635, 0.18704721793801818)","(0.24643789541541514, 0.13550469946633553)"
30,"Learning(0.0, 0.6, 0.4)_result_(0.0, 0.6, 0.4)","(0.4070879129009738, 0.13138497557507728)","(0.4826282498229136, 0.1878623177762657)","(0.2710481272925359, 0.15635841752381152)"
31,"Learning(0.0, 0.7, 0.3)_result_(0.0, 0.7, 0.3)","(0.43477874938214783, 0.14331033790874395)","(0.4159209781945193, 0.14757866981870327)","(0.397021221038334, 0.2849311465757521)"
32,"Learning(0.0, 0.8, 0.2)_result_(0.0, 0.8, 0.2)","(0.47662903180370403, 0.15778264785829774)","(0.3583523336419603, 0.1299733607748535)","(0.5678767509058449, 0.35900779303259567)"
33,"Learning(0.0, 0.9, 0.1)_result_(0.0, 0.9, 0.1)","(0.5687381439140728, 0.21217373974741555)","(0.303377308617009, 0.10145570745640553)","(0.8748040187439121, 0.49304290977368026)"
34,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.639451923090842, 0.2290246211705733)","(0.2943866973441082, 0.0952741124137503)","(1.0548109339330327, 0.5033767965672175)"
