,Policy,sus,sec,eff
0,Exp + P,"(0.37933345070402874, 0.10738259247719333)","(0.29438669724684013, 0.095274115685527)","(0.21088042346711613, 0.10488025653881855)"
1,VL + P,"(0.37933345070402874, 0.10738259247719333)","(0.29438669724684013, 0.095274115685527)","(0.21088042346711613, 0.10488025653881855)"
2,"Expert (0.0, 0.0, 1.0)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
3,"Expert (0.0, 0.1, 0.9)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
4,"Expert (0.0, 0.2, 0.8)","(0.4004730218745719, 0.12012294359429986)","(0.5746456812163447, 0.21238323093930084)","(0.21092755016970363, 0.1048633598109665)"
5,"Expert (0.0, 0.3, 0.7)","(0.40587227395582504, 0.1306007930152218)","(0.5697313988608872, 0.20302572354688275)","(0.21108120203969424, 0.10495936980292811)"
6,"Expert (0.0, 0.4, 0.6)","(0.4058237471112271, 0.1306063622297686)","(0.5683756311175928, 0.20255135187356363)","(0.2111667089158896, 0.10502202500842699)"
7,"Expert (0.0, 0.5, 0.5)","(0.4092746275495493, 0.13539039443030607)","(0.5661673676329787, 0.20002007964859067)","(0.2113473444543687, 0.10516036421798616)"
8,"Expert (0.0, 0.6, 0.4)","(0.4083151340555081, 0.13391281860822704)","(0.5621616081227426, 0.1988792106052615)","(0.21177613842615087, 0.10659877368182087)"
9,"Expert (0.0, 0.7, 0.3)","(0.40830706753369767, 0.13391667408855815)","(0.561118674993754, 0.20030754451830823)","(0.21195454414708748, 0.10665489056412743)"
10,"Expert (0.0, 0.8, 0.2)","(0.4118710995550684, 0.13730108417645664)","(0.554653509235849, 0.2002238867459715)","(0.2140009447501047, 0.10883181372237612)"
11,"Expert (0.0, 0.9, 0.1)","(0.4014225145066647, 0.1310954061731925)","(0.5051483219010008, 0.1876754028041671)","(0.2435192454136804, 0.13603516350098982)"
12,"Expert (0.0, 1.0, 0.0)","(0.639451923090842, 0.2290246211705733)","(0.2943866973441082, 0.0952741124137503)","(1.0548109339330327, 0.5033767965672175)"
13,"Society (0.0, 0.0, 1.0)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
14,"Society (0.0, 0.1, 0.9)","(0.42631311794791954, 0.12533207981134176)","(0.5467732691179998, 0.20119350557811821)","(0.30089550531522136, 0.15531408796312451)"
15,"Society (0.0, 0.2, 0.8)","(0.44765607779049066, 0.13499398092412013)","(0.5213040626083201, 0.19130342980297055)","(0.37874775581133835, 0.19686772863300922)"
16,"Society (0.0, 0.3, 0.7)","(0.47090212287087185, 0.14345501586689025)","(0.491087029611318, 0.17651735576069955)","(0.4644972979184546, 0.2355929344831898)"
17,"Society (0.0, 0.4, 0.6)","(0.496068059211891, 0.1600293718322246)","(0.46381708752068296, 0.15662772177255138)","(0.5474855857627086, 0.2943328986787657)"
18,"Society (0.0, 0.5, 0.5)","(0.5174114564845742, 0.16097066583007147)","(0.4380683637132996, 0.15768547436141944)","(0.628698689891194, 0.3057309352541702)"
19,"Society (0.0, 0.6, 0.4)","(0.543099819709651, 0.17976021342617476)","(0.40579830901367947, 0.1348659396143024)","(0.7176635960996608, 0.3578854284247235)"
20,"Society (0.0, 0.7, 0.3)","(0.5689518290683688, 0.1883296603181269)","(0.37921058793765133, 0.12130047844798814)","(0.8020071476725877, 0.388299757880681)"
21,"Society (0.0, 0.8, 0.2)","(0.5945036118935892, 0.2049604735454217)","(0.34597551253299524, 0.10915219263357809)","(0.9006308576179437, 0.44052414918401434)"
22,"Society (0.0, 0.9, 0.1)","(0.6126159950372408, 0.20965363492077257)","(0.32352791130642317, 0.10638355474276992)","(0.9641825178625464, 0.4483908127623675)"
23,"Society (0.0, 1.0, 0.0)","(0.639451923090842, 0.2290246211705733)","(0.2943866973441082, 0.0952741124137503)","(1.0548109339330327, 0.5033767965672175)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.02, 0.01, 0.97)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
25,"Learning(0.0, 0.1, 0.9)_result_(0.02, 0.01, 0.97)","(0.40032568823631953, 0.12021423037176024)","(0.5768360942066034, 0.21332252227532197)","(0.21088042306617258, 0.10488025691651003)"
26,"Learning(0.0, 0.2, 0.8)_result_(0.05, 0.03, 0.92)","(0.4004730218745719, 0.12012294359429986)","(0.5746456812163447, 0.21238323093930084)","(0.21092755016970363, 0.1048633598109665)"
27,"Learning(0.0, 0.3, 0.7)_result_(0.0, 0.04, 0.96)","(0.40587227395582504, 0.1306007930152218)","(0.5697313988608872, 0.20302572354688275)","(0.21108120203969424, 0.10495936980292811)"
28,"Learning(0.0, 0.4, 0.6)_result_(0.0, 0.05, 0.95)","(0.4058237471112271, 0.1306063622297686)","(0.5683756311175928, 0.20255135187356363)","(0.2111667089158896, 0.10502202500842699)"
29,"Learning(0.0, 0.5, 0.5)_result_(0.0, 0.08, 0.91)","(0.4043410175286944, 0.12856172655262266)","(0.5641660976214457, 0.20143194159549083)","(0.21158486045705535, 0.10646019675936422)"
30,"Learning(0.0, 0.6, 0.4)_result_(0.0, 0.12, 0.87)","(0.40736708090806034, 0.13324839312175935)","(0.562593301416583, 0.19909446698013106)","(0.2117221419998953, 0.1065114245632257)"
31,"Learning(0.0, 0.7, 0.3)_result_(0.01, 0.15, 0.84)","(0.40830706753369767, 0.13391667408855815)","(0.561118674993754, 0.20030754451830823)","(0.21195454414708748, 0.10665489056412743)"
32,"Learning(0.0, 0.8, 0.2)_result_(0.0, 0.29, 0.7)","(0.4111498599109166, 0.1372671177946219)","(0.5493133642785802, 0.20437529406459284)","(0.21619243546745948, 0.11154683393819442)"
33,"Learning(0.0, 0.9, 0.1)_result_(0.1, 0.46, 0.44)","(0.40221522453143016, 0.1312925490468727)","(0.5003143822801863, 0.1869611242492708)","(0.24830120716031065, 0.1361234110103956)"
34,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.639451923090842, 0.2290246211705733)","(0.2943866973441082, 0.0952741124137503)","(1.0548109339330327, 0.5033767965672175)"
