,Policy,sus,sec,eff,"('0.500', '0.300', '0.200')"
0,Expert + given profile,"(3.024805208177943, 0.8496014917725664)","(1.506665133724087, 0.4940777795884161)","(0.7918596474061671, 0.34179206846791405)","(2.6261137572950437, 0.7923397792260504)"
1,Value Learning + given profile,"(3.024805208177943, 0.8496014917725664)","(1.506665133724087, 0.4940777795884161)","(0.7918596474061671, 0.3417920684679141)","(2.540919531921023, 0.7473164269321986)"
2,"Profile learning + Value Learning (cost model): ('0.354', '0.305', '0.341')","(3.1080532368076477, 0.9061884841831289)","(2.699033107020353, 1.0649027224074095)","(0.9111561550219592, 0.5299991308410573)","(2.5459678727937374, 0.7511237046052036)"
3,"Profile learning + Value Learning (profile as probability): ('0.354', '0.305', '0.341')","(3.1080532368076477, 0.9061884841831289)","(2.699033107020353, 1.0649027224074095)","(0.9111561550219592, 0.5299991308410572)","(2.5459678727937374, 0.7511237046052035)"
4,"Expert with profile ('0.500', '0.300', '0.200')","(3.1361783519387245, 0.9074576341512092)","(2.9966307090301263, 1.1330410070727357)","(0.7951763984502146, 0.3421731210255129)","(2.6261137572950437, 0.7923397792260503)"
5,"Society with profile ('0.500', '0.300', '0.200')","(3.680860878684019, 1.1158060665832197)","(2.53980320950872, 0.9194516499508144)","(1.8537392282270286, 0.9152967231098509)","(2.9731193355431684, 0.9259597627418882)"
6,"Expert with profile ('1.000', '0.000', '0.000')","(3.024805208177943, 0.8496014917725664)","(2.999044197562494, 1.1872284567157236)","(0.9175991787035999, 0.5133996657621667)","(2.5956357613598047, 0.7714681767248613)"
7,"Expert with profile ('0.000', '1.000', '0.000')","(5.106836197799758, 1.843141554230664)","(1.506665133724087, 0.4940777795884161)","(4.151416854491751, 2.024741390984244)","(3.8357011242524575, 1.392241110068615)"
8,"Expert with profile ('0.000', '0.000', '1.000')","(3.189993734030347, 0.9578655992782142)","(2.9678777530789375, 1.1131475159693076)","(0.7918596474061671, 0.34179206846791405)","(2.6437322111114074, 0.8037190607194489)"
9,"Expert with profile ('0.000', '0.667', '0.333')","(3.273396188883405, 1.0920589452847975)","(2.8954087444826175, 1.0372281890499038)","(0.7949794737230006, 0.34480388893272845)","(2.6643167159667143, 0.8527203402625972)"
10,"Expert with profile ('0.667', '0.000', '0.333')","(3.123771381613455, 0.8963540859453492)","(3.030530703303061, 1.1514465101239602)","(0.7957844066090489, 0.34372058423760693)","(2.630201857929167, 0.7912951234875303)"
11,"Expert with profile ('0.333', '0.333', '0.333')","(3.1789910805068518, 0.9400223564418811)","(2.9462468039832617, 1.101561959927334)","(0.793026411464732, 0.3426946071686802)","(2.631974959647969, 0.7957504029932324)"
12,"Expert with profile ('0.000', '0.333', '0.667')","(3.2383565506652783, 1.0467431782367893)","(2.9215238482544295, 1.0472459889272374)","(0.7929928964003921, 0.3428405106421927)","(2.654234104054539, 0.8331590796921184)"
13,"Expert with profile ('0.333', '0.000', '0.667')","(3.164728717976495, 0.9284934192265955)","(2.9901881323833215, 1.127962881565194)","(0.7925142193409173, 0.3417809261435033)","(2.637923735340959, 0.7959114171861236)"
14,"Expert with profile ('0.667', '0.333', '0.000')","(3.0926332014955973, 0.8885383015481865)","(2.652721417969779, 1.0741009598171478)","(1.0406764246229279, 0.642844236866239)","(2.550268382422234, 0.7539455310202027)"
15,"Expert with profile ('0.333', '0.667', '0.000')","(3.835018684597392, 1.2772539541403458)","(1.788426018467075, 0.6345769762706428)","(2.447787352935656, 1.4435028934341299)","(2.943594716685383, 0.9958876113987091)"
16,"Expert with profile ('0.500', '0.300', '0.200')","(3.1361783519387245, 0.9074576341512092)","(2.9966307090301263, 1.1330410070727357)","(0.7951763984502146, 0.3421731210255129)","(2.6261137572950437, 0.7923397792260504)"
