,Policy,sus,sec,"('0.700', '0.300', '0.000')",Societal cost
0,Expert + given profile,"(3.0683981740945265, 0.8978190336321694)","(1.5124104819015454, 0.5167212172019352)","(2.6383432989057742, 0.8298362062940282)","(0, 0)"
1,Value Learning + given profile,"(3.0683981740945265, 0.8978190336321694)","(1.5124104819015454, 0.5167212172019352)","(2.6358738000455655, 0.8268580003675421)","(0, 0)"
2,"Profile Learning (as weights): ('0.710', '0.278', '0.012')","(3.1268441328092624, 0.9210022520320904)","(2.696180042859755, 1.1437869023269434)","(2.868445765815283, 0.96855877241955)","(0, 0)"
3,"Profile Learning (as probs): ('0.710', '0.278', '0.012')","(3.6739975354389145, 1.2014715223389396)","(2.6199363399493065, 0.9764445491130216)","(3.0415608908000746, 0.9754041430550527)","(2.253223789365668, 0.6634151996083347)"
4,"Expert with profile ('0.700', '0.300', '0.000')","(3.129086051724459, 0.9246928647106492)","(2.69011208924808, 1.1329455739494878)","(2.865701756195018, 0.9633659984858085)","(0, 0)"
5,"Society with profile ('0.700', '0.300', '0.000')","(3.706191779045681, 1.1088777887236718)","(2.600255528562947, 0.9827364257875443)","(3.0426301030736216, 0.9685361751443275)","(2.3022929653525352, 0.6699358929564938)"
6,"Expert with profile ('1.000', '0.000', '0.000')","(3.0683981740945265, 0.8978190336321694)","(3.06279917335824, 1.230559921030689)","(3.065038848080133, 1.0383142692386387)","(0, 0)"
7,"Expert with profile ('0.000', '1.000', '0.000')","(5.226803132970082, 1.9058333094634088)","(1.5124104819015454, 0.5167212172019352)","(2.9981676175406107, 0.9814681020686096)","(0, 0)"
8,"Expert with profile ('0.700', '0.300', '0.000')","(3.129086051724459, 0.924692864710649)","(2.69011208924808, 1.1329455739494878)","(2.865701756195018, 0.9633659984858088)","(0, 0)"
9,"Expert with profile ('0.900', '0.100', '0.000')","(3.0774041535822967, 0.904482737805919)","(2.9345622615594613, 1.196957718099936)","(2.991699103462069, 1.0061202132765563)","(0, 0)"
10,"Expert with profile ('0.300', '0.700', '0.000')","(3.9621525951906253, 1.4446966725464159)","(1.7612511590123177, 0.5959015669992392)","(2.641611783912307, 0.8302145627661112)","(0, 0)"
11,"Expert with profile ('0.200', '0.800', '0.000')","(4.257490796086035, 1.5093584470674561)","(1.648829118593743, 0.5759443775059899)","(2.6922938596261177, 0.8444049838979382)","(0, 0)"
12,"Expert with profile ('0.500', '0.500', '0.000')","(3.485105468646476, 1.1439963941902784)","(2.1331482996281825, 0.9644906310577511)","(2.673931219860127, 0.8692321118030175)","(0, 0)"
13,"Expert with profile ('0.800', '0.200', '0.000')","(3.0954388689837957, 0.9139998223488621)","(2.8039607519381926, 1.1646106595133017)","(2.9205520913789145, 0.9799630494209975)","(0, 0)"
14,"Expert with profile ('0.600', '0.400', '0.000')","(3.2539516024683652, 1.004432019622996)","(2.43619639504897, 1.0736730272006711)","(2.7632985389546345, 0.9205477502337878)","(0, 0)"
15,"Expert with profile ('0.100', '0.900', '0.000')","(4.788054343509047, 1.7978995729353384)","(1.5287362991979248, 0.5204484650832152)","(2.8324635899380635, 0.9305671109271628)","(0, 0)"
16,"Expert with profile ('0.400', '0.600', '0.000')","(3.7097369005021297, 1.3015428561350544)","(1.9240808208522044, 0.73926984865232)","(2.6383432989057742, 0.8298362062940282)","(0, 0)"
17,"Society with profile ('1.000', '0.000', '0.000')","(3.0683981740945265, 0.8978190336321694)","(3.06279917335824, 1.230559921030689)","(3.065038848080133, 1.038314269238639)","(0, 0)"
18,"Society with profile ('0.000', '1.000', '0.000')","(5.226803132970082, 1.9058333094634086)","(1.5124104819015454, 0.5167212172019352)","(2.9981676175406107, 0.9814681020686096)","(0, 0)"
19,"Society with profile ('0.700', '0.300', '0.000')","(3.754117470273846, 1.288324234816861)","(2.5667172253131865, 0.938919259574117)","(3.0416773932544805, 0.9768982451493023)","(0, 0)"
20,"Society with profile ('0.900', '0.100', '0.000')","(3.280561911981357, 0.9817490961167726)","(2.908554879301473, 1.1560869047520577)","(3.0573577629892448, 1.0121201387493588)","(0, 0)"
21,"Society with profile ('0.300', '0.700', '0.000')","(4.577878479973267, 1.5480217141970094)","(1.9978727814398312, 0.7548952169490598)","(3.0298751346374813, 0.9612946695843805)","(0, 0)"
22,"Society with profile ('0.200', '0.800', '0.000')","(4.807269973896052, 1.7494433724249432)","(1.8075091488267243, 0.624466349864529)","(3.007413554191589, 0.9762936672300939)","(0, 0)"
23,"Society with profile ('0.500', '0.500', '0.000')","(4.139386492104907, 1.344470381891579)","(2.2805159700544255, 0.883578411355353)","(3.0240642541333247, 0.9554081771320295)","(0, 0)"
24,"Society with profile ('0.800', '0.200', '0.000')","(3.469070565151541, 1.0722563599520603)","(2.7672078272229745, 1.0922463203118975)","(3.0479529948611006, 0.9966674458146935)","(0, 0)"
25,"Society with profile ('0.600', '0.400', '0.000')","(3.8850338831543914, 1.1984461863561868)","(2.4680548470271257, 0.9459267478528284)","(3.034846536893593, 0.969523025345457)","(0, 0)"
26,"Society with profile ('0.100', '0.900', '0.000')","(5.011722046685845, 1.7825024953908655)","(1.6446688655959931, 0.5584280908935622)","(2.991490214592532, 0.9624112736318011)","(0, 0)"
27,"Society with profile ('0.400', '0.600', '0.000')","(4.4154001046952445, 1.4917141957255937)","(2.132501727185751, 0.808391501563464)","(3.045661161134117, 0.9681246596485957)","(0, 0)"
