,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9527713937708588, 0.06775539510945935)","(0.5475641819056095, 0.20799665498365924)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.1, 0.0, 0.9)","(0.1, 0.0, 0.9)","(0.9936827153820338, 0.035226400209422394)","(0.9924018551746124, 0.04408386929250909)","(0.9987381930293769, 0.007577265830242783)","(0.9606426100565091, 0.059076963165454736)","(0.5439728863278928, 0.21037468944911952)","(0.9987237726579274, 0.007575893481642447)","(0.998140941602814, 0.01093619847734302)","(0.9833037519648387, 0.04765033768288514)"
2,"(0.2, 0.0, 0.8)","(0.2, 0.0, 0.8)","(0.9832739455836235, 0.04918083878823228)","(0.9804006227551492, 0.06235993869434743)","(0.9949987491445093, 0.014599153738314661)","(0.9718926679697866, 0.04913660084577368)","(0.5419516965266139, 0.21084109910755444)","(0.9948707953410346, 0.01459590717243558)","(0.9923702313264656, 0.022182724595919377)","(0.975042781493377, 0.04203394151523174)"
3,"(0.3, 0.0, 0.7)","(0.3, 0.0, 0.7)","(0.9802673230131406, 0.051540215573452404)","(0.9754472057898474, 0.06815395418585271)","(0.9930597875805836, 0.019294824875009654)","(0.9748992905402694, 0.047192430314402636)","(0.5389133455673216, 0.20954346095991405)","(0.9929318337771087, 0.0192795043570863)","(0.988843367807821, 0.02911133574319162)","(0.9669142054430646, 0.059407788683095125)"
4,"(0.4, 0.0, 0.6)","(0.4, 0.0, 0.6)","(0.9817051875135056, 0.04412438248977057)","(0.9693592673939485, 0.08025343445032199)","(0.9900332372709834, 0.02928405188951072)","(0.9786554960962855, 0.04307363810971483)","(0.5331545465848584, 0.21197905317055868)","(0.9887571128951105, 0.029828119271475332)","(0.9864775989784714, 0.034008402551628826)","(0.9680987369981112, 0.04868773127902677)"
5,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.9867168126860664, 0.04028831419616065)","(0.9733937871580016, 0.08052514018569633)","(0.9896183019249661, 0.03468498160364494)","(0.9809933043620028, 0.038442071515015136)","(0.5328750986153783, 0.2090602834103488)","(0.985886745529547, 0.035719498296087636)","(0.9880362035612651, 0.03647171123249579)","(0.9619170874206667, 0.06554316525119043)"
6,"(0.6, 0.0, 0.4)","(0.6, 0.0, 0.4)","(0.9889358310065586, 0.031684955028775365)","(0.9650781728315091, 0.09245025205135994)","(0.9856298834010585, 0.04261804084400518)","(0.9841012771916848, 0.036831417292929616)","(0.5280354113690064, 0.21138611673784605)","(0.9800542159965623, 0.04365471701516725)","(0.9875400142451811, 0.03583611748213589)","(0.9638335771387503, 0.060169428792085464)"
7,"(0.7, 0.0, 0.3)","(0.7, 0.0, 0.3)","(0.9879602726600327, 0.03110436566731025)","(0.959866435417805, 0.09593574290633955)","(0.9771692042166314, 0.06502488551037959)","(0.9875872870561352, 0.03286281762411544)","(0.5327820657557271, 0.2091145638919129)","(0.9695462489051752, 0.067166660098838)","(0.9842913153379159, 0.04185640938655405)","(0.9711463979926691, 0.049761047845658476)"
8,"(0.8, 0.0, 0.2)","(0.8, 0.0, 0.2)","(0.987159420533494, 0.030492320162376647)","(0.9500378046869806, 0.10062372697383239)","(0.9659119904427499, 0.08182301236645628)","(0.9913579098379433, 0.03025384116769868)","(0.5277210493015311, 0.20774985320158593)","(0.9549362177941244, 0.0850059872629798)","(0.9821557683499784, 0.042341819553656845)","(0.9790122917087399, 0.044580611354992424)"
9,"(0.9, 0.0, 0.1)","(0.9, 0.0, 0.1)","(0.9856021762632693, 0.036272528726817965)","(0.9393134098757238, 0.14425036957502588)","(0.9452999127024291, 0.13287385353279516)","(0.9983713134808383, 0.008758900539688147)","(0.5521082815990151, 0.2135181561910489)","(0.9259504835088515, 0.1337755152693806)","(0.9797011791760113, 0.0515500397763712)","(0.9916277043034978, 0.016983290340625838)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5584373314706048, 0.21278069151667675)","(0.9120967684534943, 0.15311046544414297)","(1.0, 0.0)","(1.0, 0.0)"
