,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.009938295930624008, 0.009815455414354801, 0.9802462458610535)","(0.0, 0.0, 1.0)","(0.9995556116227364, 0.0038485162385666198)","(0.9970804303219524, 0.025284215093080282)","(0.9997308464334673, 0.0023309382613645986)","(0.9523270053935955, 0.06755463682318406)","(0.5488494630517721, 0.2070253569602565)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)","(0.9997308464334673, 0.0023309382613645986)"
1,"(0.12850211560726166, 0.019670559093356133, 0.8518273234367371)","(0.1, 0.0, 0.9)","(0.9912723383523008, 0.0427593906021744)","(0.9875632655482509, 0.06000786594220547)","(0.9979655133540811, 0.009398930588520598)","(0.962180884217604, 0.055287287707637835)","(0.5503856024857878, 0.21083914077303093)","(0.9979510929826315, 0.009396638555089647)","(0.9971607303569378, 0.013429672305251923)","(0.9826149221754806, 0.040734889254152334)"
2,"(0.30083170533180237, 0.08723907172679901, 0.611929178237915)","(0.2, 0.0, 0.8)","(0.9844151765673571, 0.049596664825036677)","(0.9742449115479742, 0.07737309346327685)","(0.9936743599871296, 0.02377140399763664)","(0.9677564242116014, 0.04862147711527612)","(0.5505912094544361, 0.2067265775365593)","(0.993773576013905, 0.02377728774190015)","(0.9915397046030489, 0.02782745555195927)","(0.9819683058487069, 0.035605465095018114)"
3,"(0.4264049232006073, 0.11873307824134827, 0.45486196875572205)","(0.3, 0.0, 0.7)","(0.9765269593002862, 0.05267546144751402)","(0.9575368778888379, 0.08843446022275983)","(0.9843413064943519, 0.045202750308835846)","(0.9759397218714073, 0.04571602111821422)","(0.5517930749935993, 0.20844542063851246)","(0.984244895303538, 0.04567895115089281)","(0.9814303501278776, 0.04389711348062179)","(0.967694906155108, 0.050137683695105184)"
4,"(0.540352463722229, 0.1056743711233139, 0.3539732098579407)","(0.4, 0.0, 0.6)","(0.9787836584611455, 0.04714698833606109)","(0.9532457426099493, 0.09896765761675537)","(0.9770899143704769, 0.0637322185681787)","(0.9807173843594734, 0.04031957022916439)","(0.5570573607853971, 0.21302429180198618)","(0.9758453326072648, 0.0640901867957414)","(0.9771583969179654, 0.05476611746824481)","(0.9584508851754207, 0.06833725418301524)"
5,"(0.659183144569397, 0.07568372786045074, 0.2651331126689911)","(0.5, 0.0, 0.5)","(0.9787696960880228, 0.04414155391915987)","(0.9348900767342045, 0.13133092908779317)","(0.9604552837104848, 0.09691146812014578)","(0.9879131983257021, 0.02988662865870011)","(0.5598241976094404, 0.210667165933695)","(0.9568467010736509, 0.09706330472627667)","(0.9678601042247293, 0.07164725289584456)","(0.9671050458178139, 0.049446868992878514)"
6,"(0.7177774310112, 0.06052892655134201, 0.22169366478919983)","(0.6, 0.0, 0.4)","(0.9791449931695176, 0.042840969059720665)","(0.9242350730791947, 0.15392776436265673)","(0.9490448150218539, 0.1213561043252013)","(0.9929441072993378, 0.0184654894025438)","(0.5646254244169784, 0.21313097777031667)","(0.9435944783188552, 0.12079225883568787)","(0.964067343164486, 0.08325243410280353)","(0.9707476468030665, 0.047268444624389366)"
7,"(0.7060500383377075, 0.06391149014234543, 0.23003844916820526)","(0.7, 0.0, 0.3)","(0.984286521832819, 0.03954034978091907)","(0.9389550651568552, 0.14917465494865004)","(0.9557992012127879, 0.12024446802701808)","(0.9903781693057554, 0.02202134179648868)","(0.570263123291488, 0.2125554039197244)","(0.9481431681667398, 0.11979763849724945)","(0.9729554896067153, 0.0730971525757187)","(0.9705241516347526, 0.046621641017467)"
8,"(0.8198301792144775, 0.03769604116678238, 0.14247378706932068)","(0.8, 0.0, 0.2)","(0.9814528741277796, 0.04050438115616767)","(0.9274814917940398, 0.15265635167220126)","(0.9438993430254293, 0.1277329695113666)","(0.9970726288022729, 0.010292908134327804)","(0.5622428070677784, 0.21636534357393666)","(0.9328026667034828, 0.12713093234606337)","(0.9713209836391696, 0.06570553536367592)","(0.9856061242655159, 0.028102708888620258)"
9,"(0.8628538250923157, 0.013314121402800083, 0.12383200973272324)","(0.9, 0.0, 0.1)","(0.9862311271264173, 0.03594625585526435)","(0.9368772547124042, 0.14570445893750714)","(0.950643270399475, 0.12442898709893162)","(0.9977332556569686, 0.009956884658658233)","(0.5528379432099303, 0.20998751306550567)","(0.9312938412058976, 0.12621324100992568)","(0.9811374853241448, 0.05031406852150551)","(0.9897629742878477, 0.020855879271134685)"
10,"(0.9595772624015808, 0.011157701723277569, 0.029265088960528374)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5584373314706048, 0.21278069151667675)","(0.9120967684534943, 0.15311046544414297)","(1.0, 0.0)","(1.0, 0.0)"
