,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.1, 0.0, 0.9)","(0.1, 0.0, 0.9)",,,,"(0.8552631578947368, 4.444701006368267)","(0.8552631578947368, 4.444701006368267)","(0.8552631578947368, 4.444701006368267)","(0.8552631578947368, 4.444701006368267)","(3.1710526315789473, 5.739723443490656)"
2,"(0.2, 0.0, 0.8)","(0.2, 0.0, 0.8)",,,,"(2.3026315789473686, 6.405219370174249)","(2.3026315789473686, 6.405219370174249)","(2.3026315789473686, 6.405219370174249)","(2.3026315789473686, 6.405219370174249)","(3.7171052631578947, 5.2373503786666475)"
3,"(0.3, 0.0, 0.7)","(0.3, 0.0, 0.7)",,,,"(3.0789473684210527, 7.730260358342158)","(3.0789473684210527, 7.730260358342158)","(3.0789473684210527, 7.730260358342158)","(3.0789473684210527, 7.730260358342158)","(4.269736842105263, 5.552643271377063)"
4,"(0.4, 0.0, 0.6)","(0.4, 0.0, 0.6)",,,,"(3.276315789473684, 8.053437782140204)","(3.276315789473684, 8.053437782140204)","(3.276315789473684, 8.053437782140204)","(3.276315789473684, 8.053437782140204)","(4.171052631578948, 5.635036444786494)"
5,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)",,,,"(2.486842105263158, 7.777317595101106)","(2.486842105263158, 7.777317595101106)","(2.486842105263158, 7.777317595101106)","(2.486842105263158, 7.777317595101106)","(4.309210526315789, 5.655090339256515)"
6,"(0.6, 0.0, 0.4)","(0.6, 0.0, 0.4)",,,,"(2.526315789473684, 7.190040048586448)","(2.526315789473684, 7.190040048586448)","(2.526315789473684, 7.190040048586448)","(2.526315789473684, 7.190040048586448)","(4.309210526315789, 5.655090339256515)"
7,"(0.7, 0.0, 0.3)","(0.7, 0.0, 0.3)",,,,"(2.276315789473684, 6.103490554830783)","(2.276315789473684, 6.103490554830783)","(2.276315789473684, 6.103490554830783)","(2.276315789473684, 6.103490554830783)","(4.223684210526316, 5.586281797522358)"
8,"(0.8, 0.0, 0.2)","(0.8, 0.0, 0.2)",,,,"(2.6973684210526314, 5.878192831944959)","(2.6973684210526314, 5.878192831944959)","(2.6973684210526314, 5.878192831944959)","(2.6973684210526314, 5.878192831944959)","(4.026315789473684, 5.574197332376833)"
9,"(0.9, 0.0, 0.1)","(0.9, 0.0, 0.1)",,,,"(2.3026315789473686, 5.18606365490118)","(2.3026315789473686, 5.18606365490118)","(2.3026315789473686, 5.18606365490118)","(2.3026315789473686, 5.18606365490118)","(3.0197368421052633, 4.76655065995378)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
