,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
3,"Expert (0.1, 0.0, 0.9)","(0.4015672007180432, 0.12263767183267384)","(0.5905057330413623, 0.22392194206947635)","(0.2139373627996017, 0.10672224793146308)"
4,"Expert (0.2, 0.0, 0.8)","(0.4011410429742874, 0.12268364241054362)","(0.592193416721114, 0.2234686967567687)","(0.21395527960703475, 0.10671268502777484)"
5,"Expert (0.3, 0.0, 0.7)","(0.4011410429742874, 0.12268364241054362)","(0.592193416721114, 0.2234686967567687)","(0.21395527960703475, 0.10671268502777484)"
6,"Expert (0.4, 0.0, 0.6)","(0.3984066780739292, 0.12131600508029101)","(0.5959333107518767, 0.2247263613690075)","(0.21418585736299925, 0.1066733723204772)"
7,"Expert (0.5, 0.0, 0.5)","(0.39477771635038633, 0.11876015382284098)","(0.6022129209748911, 0.2285584391460929)","(0.21472996327218807, 0.10694905430388923)"
8,"Expert (0.6, 0.0, 0.4)","(0.39160857737634186, 0.11466554907205584)","(0.6015325118297417, 0.23062207530764536)","(0.21544211306785369, 0.10839591507174084)"
9,"Expert (0.7, 0.0, 0.3)","(0.39024426400857537, 0.113107801560392)","(0.6054579291713277, 0.2325602139773868)","(0.2159442113008577, 0.10842296533403023)"
10,"Expert (0.8, 0.0, 0.2)","(0.3888686276377963, 0.11241382359495157)","(0.6129215042915588, 0.23527539551351181)","(0.21665914186183058, 0.10824976139863793)"
11,"Expert (0.9, 0.0, 0.1)","(0.3865480849743012, 0.11195971611665334)","(0.621397288752058, 0.23820819540393526)","(0.2187975946155922, 0.10917178404895873)"
12,"Expert (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
13,"Society (0.0, 0.0, 1.0)","(0.4027201077383085, 0.12472095606301664)","(0.5896176209330166, 0.2227459038437514)","(0.21393223878993395, 0.1067154682539768)"
14,"Society (0.1, 0.0, 0.9)","(0.4002976692070278, 0.12289220382508924)","(0.5880936555672394, 0.22055773514740348)","(0.21833012537673838, 0.11052102592403079)"
15,"Society (0.2, 0.0, 0.8)","(0.3987286053041891, 0.12120911562215136)","(0.5927274044385595, 0.2225353029461768)","(0.21772471896539702, 0.10782491021926549)"
16,"Society (0.3, 0.0, 0.7)","(0.3961679052685596, 0.12041975664984181)","(0.590669241257312, 0.21655937440962983)","(0.22315237867043933, 0.11378634544276431)"
17,"Society (0.4, 0.0, 0.6)","(0.393479940316358, 0.11817326893711783)","(0.5912829046290808, 0.22276539238068802)","(0.2274923490134442, 0.1159675920207802)"
18,"Society (0.5, 0.0, 0.5)","(0.3917314065405854, 0.11764115669085219)","(0.5900349672772696, 0.2228691289679885)","(0.23002063113151383, 0.11986519935521735)"
19,"Society (0.6, 0.0, 0.4)","(0.3885530567216368, 0.11533763143495576)","(0.5916145240515012, 0.22497462425851825)","(0.23426406205031328, 0.12343483786631837)"
20,"Society (0.7, 0.0, 0.3)","(0.38772735833083155, 0.11479719855094112)","(0.5970598729330385, 0.22663983826341685)","(0.23443587010444483, 0.12376280568218481)"
21,"Society (0.8, 0.0, 0.2)","(0.3842215971295158, 0.11302262381038003)","(0.5890873961579545, 0.23161352935262988)","(0.24203204076727977, 0.1351037016001612)"
22,"Society (0.9, 0.0, 0.1)","(0.38337730946935294, 0.11282275421671044)","(0.591223681540884, 0.23311585772611224)","(0.243251717087926, 0.1363764735326291)"
23,"Society (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.4028674413765609, 0.12463013968572838)","(0.5874272079427579, 0.22197267759306466)","(0.213979365893465, 0.10669751383310419)"
25,"Learning(0.1, 0.0, 0.9)_result_(0.13, 0.02, 0.85)","(0.39707262281444855, 0.11862726248155653)","(0.5884811478654707, 0.22407447289434368)","(0.21458986520462386, 0.10798720057846489)"
26,"Learning(0.2, 0.0, 0.8)_result_(0.3, 0.09, 0.61)","(0.39443631602089707, 0.11771624912633323)","(0.5876434037253555, 0.22590159742404387)","(0.21567580824308893, 0.10839996093862202)"
27,"Learning(0.3, 0.0, 0.7)_result_(0.43, 0.12, 0.45)","(0.39042686456569325, 0.11451871694495715)","(0.5881081091838974, 0.22902311409615628)","(0.2181825293055705, 0.10923778727989843)"
28,"Learning(0.4, 0.0, 0.6)_result_(0.54, 0.11, 0.35)","(0.3879834634702236, 0.112364842593196)","(0.5870429608031899, 0.23401741666834958)","(0.2210180720610783, 0.11112252561660692)"
29,"Learning(0.5, 0.0, 0.5)_result_(0.66, 0.08, 0.27)","(0.3848724215043292, 0.11148365362373026)","(0.5833112998814997, 0.23730586947036622)","(0.22840318235983814, 0.1205535343248382)"
30,"Learning(0.6, 0.0, 0.4)_result_(0.72, 0.06, 0.22)","(0.3831042409552825, 0.11196088384817786)","(0.5858140966669644, 0.24670413079961717)","(0.23281102232278117, 0.12162771843936597)"
31,"Learning(0.7, 0.0, 0.3)_result_(0.71, 0.06, 0.23)","(0.3842117703063291, 0.11231982213413805)","(0.5783441733885986, 0.2433768152747614)","(0.23179195239783057, 0.12140744206635641)"
32,"Learning(0.8, 0.0, 0.2)_result_(0.82, 0.04, 0.14)","(0.38141602739434394, 0.11158105626412486)","(0.5895946842218492, 0.24224884073971908)","(0.23786938555674983, 0.13037514366214292)"
33,"Learning(0.9, 0.0, 0.1)_result_(0.86, 0.01, 0.12)","(0.38117754022823647, 0.11173252781150715)","(0.5985081353045596, 0.24721528820307045)","(0.23713620287698609, 0.1270033556524619)"
34,"Learning(1.0, 0.0, 0.0)_result_(0.96, 0.01, 0.03)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
