,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0007149421726353467, 0.9985135197639465, 0.0007715689716860652)","(0.0, 1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.635733440976835, 0.17256594255267835)","(1.0, 0.0)","(0.2616391631717332, 0.21063021821549507)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.04799046739935875, 0.9293205738067627, 0.022688956931233406)","(0.1, 0.9, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.6846910139390294, 0.15455749667305094)","(0.9900213216883147, 0.024329196474080703)","(0.2904648366016563, 0.21782901308588173)","(1.0, 0.0)","(0.9177259347657251, 0.08922058785611105)"
2,"(0.28418171405792236, 0.692162275314331, 0.02365601249039173)","(0.2, 0.8, 0.0)","(0.9918997980627322, 0.05300338467937402)","(0.993815478449064, 0.037800011805190985)","(0.9877204909060656, 0.08219402657972928)","(0.7678997121494523, 0.15791752803824324)","(0.9223812652870805, 0.10100993348344812)","(0.4135377211688755, 0.30194872876984163)","(0.9933297780214627, 0.0412563347671295)","(0.8644542308296476, 0.09466272406701011)"
3,"(0.37240785360336304, 0.6117374897003174, 0.01585475727915764)","(0.3, 0.7, 0.0)","(0.9940291065601239, 0.03649550508067847)","(0.9901382010289926, 0.060041779772625224)","(0.991037255920859, 0.0548124788887108)","(0.8091890639394592, 0.15053973835905762)","(0.8819363626479148, 0.12908506416391033)","(0.46679699771367755, 0.3113419284227541)","(0.9911396596526019, 0.05396860109406326)","(0.8222033661381052, 0.12817413711666062)"
4,"(0.49583670496940613, 0.4932519197463989, 0.010911375284194946)","(0.4, 0.6, 0.0)","(0.9958646624891079, 0.03080221314583319)","(0.9959355924646399, 0.027471193857405086)","(0.9810988839969306, 0.10545840693384602)","(0.853821122479663, 0.12345008030951175)","(0.8165969319585095, 0.15151601093500638)","(0.5333537455403699, 0.3043052473072763)","(0.995900988054564, 0.028805894118029703)","(0.8130557276350737, 0.10683596167626129)"
5,"(0.6277361512184143, 0.3645336925983429, 0.007730142213404179)","(0.5, 0.5, 0.0)","(0.983922320271224, 0.05153492908626014)","(0.967312929707461, 0.1037095623141659)","(0.9500434802919906, 0.1622439075897685)","(0.9163367681641542, 0.10004749487637979)","(0.7359429560098271, 0.18348801310109666)","(0.6682306483432479, 0.29653380557944525)","(0.9745152227062569, 0.0808165926530229)","(0.8120053579093393, 0.12475542688514737)"
6,"(0.7045666575431824, 0.2869296371936798, 0.008503669872879982)","(0.6, 0.4, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9525277809803034, 0.07652599216940421)","(0.6813944487577853, 0.19174912841814074)","(0.7610480294129797, 0.2769654161480641)","(1.0, 0.0)","(0.8211632596332509, 0.12097662764477081)"
7,"(0.7831709384918213, 0.21356835961341858, 0.0032607249449938536)","(0.7, 0.3, 0.0)","(0.9990846850240171, 0.007926860216655321)","(0.9979808921129227, 0.017485987231903168)","(0.9992868024753457, 0.00617647174266735)","(0.9820036720896406, 0.03412078866949749)","(0.6243542529682908, 0.20014479913482539)","(0.8643273631342558, 0.21076480065768308)","(0.9987312405225112, 0.01098777938797475)","(0.8606583879779519, 0.08963433210728362)"
8,"(0.8895995616912842, 0.10094133764505386, 0.009459109045565128)","(0.8, 0.2, 0.0)","(0.9990528997755124, 0.005888813351822394)","(0.9946351126576968, 0.03430554842288458)","(0.9951606068264237, 0.03913589903756189)","(0.9934052126686941, 0.01496349046233418)","(0.598291779106075, 0.20757543433989212)","(0.8917651481124822, 0.18381513091776727)","(0.9980023731703017, 0.012720966612746706)","(0.8894772080780178, 0.08437096087525238)"
9,"(0.9460870027542114, 0.053309448063373566, 0.0006035714177414775)","(0.9, 0.1, 0.0)","(0.9978842127819293, 0.006982709229494963)","(0.9727078660989295, 0.07929223618336503)","(0.9787987176254811, 0.08925726473352341)","(0.9976923684153164, 0.008095530901732845)","(0.5792785887587086, 0.21261684493444952)","(0.9051200134377893, 0.16464020656083667)","(0.9946371573250683, 0.0166643750451738)","(0.9359401721677084, 0.07268573662350213)"
10,"(0.9697346091270447, 0.009724294766783714, 0.02054104022681713)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5584373314706048, 0.21278069151667675)","(0.9120967684534943, 0.15311046544414297)","(1.0, 0.0)","(1.0, 0.0)"
