,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.003280949080362916, 0.9944015145301819, 0.002317466540262103)","(0.0, 1.0, 0.0)","(0.9729303062953889, 0.10070355215229902)","(0.9986830449788402, 0.004804512532300712)","(0.965501902845844, 0.12744510453994987)","(0.6541066786555225, 0.16139302878846792)","(0.9986830449788402, 0.004804512532300712)","(0.2697608606218608, 0.2070718361463239)","(0.9986830449788402, 0.004804512532300712)","(0.9986830449788402, 0.004804512532300712)"
1,"(0.013799915090203285, 0.9817714691162109, 0.00442870706319809)","(0.1, 0.9, 0.0)","(0.9577357238818407, 0.10215791631350775)","(0.9913382767094747, 0.02432366461617358)","(0.9434409889652059, 0.15075339237741012)","(0.6541066786555225, 0.16139302878846792)","(0.9986830449788402, 0.004804512532300712)","(0.2697608606218608, 0.2070718361463239)","(0.986969323655498, 0.03538251108393341)","(0.9148873723942147, 0.0954414727305077)"
2,"(0.2579191327095032, 0.7340569496154785, 0.008023904636502266)","(0.2, 0.8, 0.0)","(0.9504095721206516, 0.10022275272811748)","(0.9633353698091461, 0.0747761709745295)","(0.899205828447736, 0.22497619242736444)","(0.7182861145925572, 0.15177242748278544)","(0.9631423569484471, 0.06005843334411485)","(0.3359106977822053, 0.25960394479387755)","(0.9604612690385843, 0.07985292148514712)","(0.8656038211003555, 0.10257525398829674)"
3,"(0.3347560465335846, 0.6568486094474792, 0.008395370095968246)","(0.3, 0.7, 0.0)","(0.9588090850443237, 0.09949655945496766)","(0.9555794736933508, 0.10444970864495949)","(0.9229693570457475, 0.18705298629463676)","(0.7772761787149115, 0.15411781604406696)","(0.9152222846710945, 0.11219863304001636)","(0.42597784241021247, 0.30703339943967256)","(0.9561917275939306, 0.1028230679358852)","(0.8200865008414371, 0.13173764372928082)"
4,"(0.4340909719467163, 0.5602169036865234, 0.005692108068615198)","(0.4, 0.6, 0.0)","(0.9567133294123104, 0.10351212875830067)","(0.945826449938622, 0.12197481001716169)","(0.9059822038285577, 0.21431795851461005)","(0.8184959301389906, 0.14580226924770404)","(0.8658217726736728, 0.13716201781471232)","(0.47686438127001357, 0.311385658076036)","(0.9498462590548784, 0.11457836272775056)","(0.8101604864675801, 0.11392581743262957)"
5,"(0.6031567454338074, 0.3917706608772278, 0.005072580184787512)","(0.5, 0.5, 0.0)","(0.9979210004361123, 0.018004664367833937)","(0.996532785312955, 0.030026959993554023)","(0.9936203752900051, 0.05524917065466538)","(0.8995206579605363, 0.11005311263851252)","(0.7671280135794096, 0.17978581378466055)","(0.6269286067593498, 0.3098689678240901)","(0.9971804995032806, 0.02441759056141914)","(0.8023128100260944, 0.11423441406906135)"
6,"(0.6280409097671509, 0.3685966432094574, 0.0033625150099396706)","(0.6, 0.4, 0.0)","(0.9607525357439431, 0.07701225772627336)","(0.9270490545946393, 0.1426977025137973)","(0.8891138086051291, 0.21290496331795522)","(0.9148303639911922, 0.10265876877888454)","(0.7411143066942373, 0.18480217402242974)","(0.6669985726825686, 0.2983120663806328)","(0.94498680938852, 0.1080474053190611)","(0.8107530616018325, 0.12011983066686022)"
7,"(0.6820614337921143, 0.3153199851512909, 0.0026186348404735327)","(0.7, 0.3, 0.0)","(0.9566283972082458, 0.07296076010452067)","(0.901419888977946, 0.1731200649408921)","(0.8550748315794783, 0.2533131350220271)","(0.9403169480227115, 0.07913518272737059)","(0.6962918185513359, 0.18158067295048722)","(0.7312866226944363, 0.27939104982950963)","(0.9354001234144921, 0.11274872090092725)","(0.8438600264874259, 0.10696269470594268)"
8,"(0.806769073009491, 0.1911698281764984, 0.0020610725041478872)","(0.8, 0.2, 0.0)","(0.9908595168866566, 0.02975066819516479)","(0.966966306207962, 0.09934476795736978)","(0.9689811940549464, 0.11442309532421292)","(0.9833598555557536, 0.03273494940939722)","(0.622728835404416, 0.20133240810558864)","(0.8676055402508241, 0.20991136931213886)","(0.9847483775216045, 0.047949529948548154)","(0.8805579722918032, 0.09749851294871112)"
9,"(0.8916186690330505, 0.10696633160114288, 0.0014149905182421207)","(0.9, 0.1, 0.0)","(0.9954134749584899, 0.012241649268589129)","(0.9643923802644213, 0.08421793757120309)","(0.983040685462437, 0.05432932293111929)","(0.9930306430765063, 0.015148871630198917)","(0.5989518745414508, 0.20674100585422156)","(0.8872536619355321, 0.18530492530520373)","(0.9915481745852149, 0.0212865815820259)","(0.9245399685682775, 0.08149609562741822)"
10,"(0.9605440497398376, 0.010968009941279888, 0.02848791517317295)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5584373314706048, 0.21278069151667675)","(0.9120967684534943, 0.15311046544414297)","(1.0, 0.0)","(1.0, 0.0)"
