,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0007149421726353467, 0.9985135197639465, 0.0007715689716860652)","(0.0, 1.0, 0.0)","(1.0, 5.116433e-08)","(1.0, 4.269781e-08)","(1.0, 4.377894e-08)","(0.23769112, 0.262004)","(1.0, 4.269781e-08)","(0.14909026, 0.22100088)","(1.0, 4.269781e-08)","(1.0, 5.2960118e-08)"
1,"(0.04799046739935875, 0.9293205738067627, 0.022688956931233406)","(0.1, 0.9, 0.0)","(1.0, 6.2289146e-08)","(1.0, 4.4834003e-08)","(1.0, 4.5864805e-08)","(0.26627237, 0.26268062)","(0.8676831, 0.23168226)","(0.16989481, 0.23887989)","(1.0, 5.2960118e-08)","(0.8111445, 0.22631052)"
2,"(0.28418171405792236, 0.692162275314331, 0.02365601249039173)","(0.2, 0.8, 0.0)","(0.98352563, 0.10216855)","(0.98511404, 0.093320586)","(0.98311716, 0.10512764)","(0.3715595, 0.33826685)","(0.6929765, 0.292472)","(0.29220206, 0.34881988)","(0.98464173, 0.095797785)","(0.63972324, 0.25312933)"
3,"(0.37240785360336304, 0.6117374897003174, 0.01585475727915764)","(0.3, 0.7, 0.0)","(0.98903936, 0.066860124)","(0.9857844, 0.08660044)","(0.9897173, 0.06286065)","(0.43217158, 0.35221875)","(0.6196502, 0.31484416)","(0.32978755, 0.35173157)","(0.98730516, 0.07738005)","(0.5540061, 0.2451866)"
4,"(0.49583670496940613, 0.4932519197463989, 0.010911375284194946)","(0.4, 0.6, 0.0)","(0.97638303, 0.12327234)","(0.9773156, 0.11580396)","(0.9747228, 0.13660887)","(0.4846052, 0.3485286)","(0.50931, 0.3030895)","(0.38425672, 0.35488346)","(0.9770484, 0.11815831)","(0.48909003, 0.231173)"
5,"(0.6277361512184143, 0.3645336925983429, 0.007730142213404179)","(0.5, 0.5, 0.0)","(0.94166607, 0.18708722)","(0.95067275, 0.16046447)","(0.9335254, 0.21165794)","(0.60201615, 0.35080934)","(0.42289674, 0.29678)","(0.5112519, 0.37268686)","(0.9459837, 0.17391498)","(0.50121707, 0.23379448)"
6,"(0.7045666575431824, 0.2869296371936798, 0.008503669872879982)","(0.6, 0.4, 0.0)","(1.0, 5.80149e-08)","(1.0, 6.3035145e-08)","(1.0, 5.383555e-08)","(0.7109616, 0.35487282)","(0.38453683, 0.2868493)","(0.59576845, 0.3728416)","(1.0, 6.1534095e-08)","(0.56563497, 0.25164294)"
7,"(0.7831709384918213, 0.21356835961341858, 0.0032607249449938536)","(0.7, 0.3, 0.0)","(0.9924117, 0.06571698)","(0.9924271, 0.06558292)","(0.9929907, 0.06070239)","(0.7945851, 0.31281012)","(0.3344533, 0.26142764)","(0.7118714, 0.34160447)","(0.992418, 0.06566272)","(0.64697677, 0.25671744)"
8,"(0.8895995616912842, 0.10094133764505386, 0.009459109045565128)","(0.8, 0.2, 0.0)","(0.98594207, 0.088995226)","(0.98450774, 0.09954788)","(0.98418313, 0.0964448)","(0.87259513, 0.2652093)","(0.3186851, 0.26605886)","(0.71634775, 0.33252078)","(0.98562473, 0.09127345)","(0.7482769, 0.23912553)"
9,"(0.9460870027542114, 0.053309448063373566, 0.0006035714177414775)","(0.9, 0.1, 0.0)","(0.9584935, 0.14350937)","(0.95049596, 0.14937696)","(0.9555936, 0.158391)","(0.9415736, 0.19149959)","(0.3053891, 0.2677633)","(0.71132964, 0.34024543)","(0.9576872, 0.14345191)","(0.8659477, 0.18935387)"
10,"(0.9697346091270447, 0.009724294766783714, 0.02054104022681713)","(1.0, 0.0, 0.0)","(1.0, 5.7203465e-08)","(1.0, 5.5964254e-08)","(1.0, 5.3399628e-08)","(1.0, 5.7203465e-08)","(0.29193324, 0.2631259)","(0.69973135, 0.3388141)","(1.0, 5.7203465e-08)","(1.0, 6.191277e-08)"
