,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 1.0, 0.0)","(0.0, 1.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.1, 0.9, 0.0)","(0.1, 0.9, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(9.855263157894736, 8.353936902613832)"
2,"(0.2, 0.8, 0.0)","(0.2, 0.8, 0.0)",,,,"(4.644736842105263, 8.816408069420188)","(4.644736842105263, 8.816408069420188)","(4.644736842105263, 8.816408069420188)","(4.644736842105263, 8.816408069420188)","(13.223684210526315, 7.712086693200155)"
3,"(0.3, 0.7, 0.0)","(0.3, 0.7, 0.0)",,,,"(3.986842105263158, 8.351636179205013)","(3.986842105263158, 8.351636179205013)","(3.986842105263158, 8.351636179205013)","(3.986842105263158, 8.351636179205013)","(14.256578947368421, 7.72576576899996)"
4,"(0.4, 0.6, 0.0)","(0.4, 0.6, 0.0)",,,,"(4.802631578947368, 8.609999903481425)","(4.802631578947368, 8.609999903481425)","(4.802631578947368, 8.609999903481425)","(4.802631578947368, 8.609999903481425)","(14.342105263157896, 7.344981515470537)"
5,"(0.5, 0.5, 0.0)","(0.5, 0.5, 0.0)",,,,"(6.723684210526316, 10.347385487483919)","(6.723684210526316, 10.347385487483919)","(6.723684210526316, 10.347385487483919)","(6.723684210526316, 10.347385487483919)","(14.769736842105264, 7.604725327003532)"
6,"(0.6, 0.4, 0.0)","(0.6, 0.4, 0.0)",,,,"(5.723684210526316, 8.616994658981088)","(5.723684210526316, 8.616994658981088)","(5.723684210526316, 8.616994658981088)","(5.723684210526316, 8.616994658981088)","(15.256578947368421, 7.954018109476026)"
7,"(0.7, 0.3, 0.0)","(0.7, 0.3, 0.0)",,,,"(4.2105263157894735, 8.280153490621707)","(4.2105263157894735, 8.280153490621707)","(4.2105263157894735, 8.280153490621707)","(4.2105263157894735, 8.280153490621707)","(15.006578947368421, 8.292947789130292)"
8,"(0.8, 0.2, 0.0)","(0.8, 0.2, 0.0)",,,,"(1.5657894736842106, 5.045413566888429)","(1.5657894736842106, 5.045413566888429)","(1.5657894736842106, 5.045413566888429)","(1.5657894736842106, 5.045413566888429)","(12.822368421052632, 7.9797044973022615)"
9,"(0.9, 0.1, 0.0)","(0.9, 0.1, 0.0)",,,,"(2.1447368421052633, 6.043055926495131)","(2.1447368421052633, 6.043055926495131)","(2.1447368421052633, 6.043055926495131)","(2.1447368421052633, 6.043055926495131)","(11.388157894736842, 8.544234237888809)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
