,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0007149421726353467, 0.9985135197639465, 0.0007715689716860652)","(0.0, 1.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1,"(0.04799046739935875, 0.9293205738067627, 0.022688956931233406)","(0.1, 0.9, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(9.861842105263158, 8.276710621491569)"
2,"(0.28418171405792236, 0.692162275314331, 0.02365601249039173)","(0.2, 0.8, 0.0)",,,,"(0.4473684210526316, 2.764410743540614)","(0.4473684210526316, 2.764410743540614)","(0.4473684210526316, 2.764410743540614)","(0.4473684210526316, 2.764410743540614)","(13.881578947368421, 8.724537546578732)"
3,"(0.37240785360336304, 0.6117374897003174, 0.01585475727915764)","(0.3, 0.7, 0.0)",,,,"(0.2631578947368421, 1.6007269816574263)","(0.2631578947368421, 1.6007269816574263)","(0.2631578947368421, 1.6007269816574263)","(0.2631578947368421, 1.6007269816574263)","(14.388157894736842, 7.856274178964813)"
4,"(0.49583670496940613, 0.4932519197463989, 0.010911375284194946)","(0.4, 0.6, 0.0)",,,,"(0.5657894736842105, 3.044993848044038)","(0.5657894736842105, 3.044993848044038)","(0.5657894736842105, 3.044993848044038)","(0.5657894736842105, 3.044993848044038)","(15.289473684210526, 7.87954679012242)"
5,"(0.6277361512184143, 0.3645336925983429, 0.007730142213404179)","(0.5, 0.5, 0.0)",,,,"(1.5, 5.184744829532927)","(1.5, 5.184744829532927)","(1.5, 5.184744829532927)","(1.5, 5.184744829532927)","(15.427631578947368, 8.108922939126193)"
6,"(0.7045666575431824, 0.2869296371936798, 0.008503669872879982)","(0.6, 0.4, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(14.881578947368421, 8.340558963445718)"
7,"(0.7831709384918213, 0.21356835961341858, 0.0032607249449938536)","(0.7, 0.3, 0.0)",,,,"(0.19736842105263158, 1.709260665364024)","(0.19736842105263158, 1.709260665364024)","(0.19736842105263158, 1.709260665364024)","(0.19736842105263158, 1.709260665364024)","(14.381578947368421, 7.991717925556561)"
8,"(0.8895995616912842, 0.10094133764505386, 0.009459109045565128)","(0.8, 0.2, 0.0)",,,,"(0.39473684210526316, 2.4065641995461906)","(0.39473684210526316, 2.4065641995461906)","(0.39473684210526316, 2.4065641995461906)","(0.39473684210526316, 2.4065641995461906)","(12.664473684210526, 8.005503106373114)"
9,"(0.9460870027542114, 0.053309448063373566, 0.0006035714177414775)","(0.9, 0.1, 0.0)",,,,"(1.144736842105263, 4.11257361914084)","(1.144736842105263, 4.11257361914084)","(1.144736842105263, 4.11257361914084)","(1.144736842105263, 4.11257361914084)","(9.736842105263158, 8.239616146291473)"
10,"(0.9697346091270447, 0.009724294766783714, 0.02054104022681713)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
