,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.003280949080362916, 0.9944015145301819, 0.002317466540262103)","(0.0, 1.0, 0.0)",,,,"(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)","(0.881578947368421, 3.418090823156439)"
1,"(0.013799915090203285, 0.9817714691162109, 0.00442870706319809)","(0.1, 0.9, 0.0)",,,,"(3.223684210526316, 7.353120863048071)","(3.223684210526316, 7.353120863048071)","(3.223684210526316, 7.353120863048071)","(3.223684210526316, 7.353120863048071)","(8.789473684210526, 7.405218269418433)"
2,"(0.2579191327095032, 0.7340569496154785, 0.008023904636502266)","(0.2, 0.8, 0.0)",,,,"(2.6842105263157894, 5.395442829286556)","(2.6842105263157894, 5.395442829286556)","(2.6842105263157894, 5.395442829286556)","(2.6842105263157894, 5.395442829286556)","(13.480263157894736, 8.201588737890042)"
3,"(0.3347560465335846, 0.6568486094474792, 0.008395370095968246)","(0.3, 0.7, 0.0)",,,,"(2.6052631578947367, 6.452414781281137)","(2.6052631578947367, 6.452414781281137)","(2.6052631578947367, 6.452414781281137)","(2.6052631578947367, 6.452414781281137)","(13.901315789473685, 7.36368209920633)"
4,"(0.4340909719467163, 0.5602169036865234, 0.005692108068615198)","(0.4, 0.6, 0.0)",,,,"(3.8815789473684212, 8.525452766589366)","(3.8815789473684212, 8.525452766589366)","(3.8815789473684212, 8.525452766589366)","(3.8815789473684212, 8.525452766589366)","(14.546052631578947, 7.360624987577905)"
5,"(0.6031567454338074, 0.3917706608772278, 0.005072580184787512)","(0.5, 0.5, 0.0)",,,,"(0.13157894736842105, 1.1395071102426824)","(0.13157894736842105, 1.1395071102426824)","(0.13157894736842105, 1.1395071102426824)","(0.13157894736842105, 1.1395071102426824)","(15.19078947368421, 7.872740739104289)"
6,"(0.6280409097671509, 0.3685966432094574, 0.0033625150099396706)","(0.6, 0.4, 0.0)",,,,"(3.9342105263157894, 7.220831571727568)","(3.9342105263157894, 7.220831571727568)","(3.9342105263157894, 7.220831571727568)","(3.9342105263157894, 7.220831571727568)","(15.210526315789474, 8.145576438317018)"
7,"(0.6820614337921143, 0.3153199851512909, 0.0026186348404735327)","(0.7, 0.3, 0.0)",,,,"(4.907894736842105, 8.175988000137558)","(4.907894736842105, 8.175988000137558)","(4.907894736842105, 8.175988000137558)","(4.907894736842105, 8.175988000137558)","(15.55921052631579, 8.264129489476588)"
8,"(0.806769073009491, 0.1911698281764984, 0.0020610725041478872)","(0.8, 0.2, 0.0)",,,,"(1.5657894736842106, 5.045413566888429)","(1.5657894736842106, 5.045413566888429)","(1.5657894736842106, 5.045413566888429)","(1.5657894736842106, 5.045413566888429)","(13.381578947368421, 7.915619311580906)"
9,"(0.8916186690330505, 0.10696633160114288, 0.0014149905182421207)","(0.9, 0.1, 0.0)",,,,"(2.1447368421052633, 6.043055926495131)","(2.1447368421052633, 6.043055926495131)","(2.1447368421052633, 6.043055926495131)","(2.1447368421052633, 6.043055926495131)","(11.092105263157896, 9.228713247221735)"
10,"(0.9605440497398376, 0.010968009941279888, 0.02848791517317295)","(1.0, 0.0, 0.0)",,,,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
