,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
3,"Expert (0.1, 0.9, 0.0)","(0.5933667120139274, 0.22280735652259076)","(0.2949550512771805, 0.10041555505301733)","(0.9638403584731828, 0.48234040741427997)"
4,"Expert (0.2, 0.8, 0.0)","(0.5276158387293292, 0.1870494752963368)","(0.3181258136876415, 0.11112296109668009)","(0.7774253557658276, 0.42429271397722)"
5,"Expert (0.3, 0.7, 0.0)","(0.4910156177012189, 0.17903617447422995)","(0.3398165675199906, 0.11497350900588262)","(0.6714297466387507, 0.4014222486265076)"
6,"Expert (0.4, 0.6, 0.0)","(0.4597346258654541, 0.16129561909419646)","(0.3712329945163602, 0.14263504797737153)","(0.5601036178635886, 0.34982868835090025)"
7,"Expert (0.5, 0.5, 0.0)","(0.4318968428683308, 0.14177144151406518)","(0.4115705620832542, 0.1860892400584511)","(0.46349674451132733, 0.30640996701723444)"
8,"Expert (0.6, 0.4, 0.0)","(0.40325076019967365, 0.12447572295858486)","(0.4700407901193677, 0.20715493623721348)","(0.34799337005748193, 0.22884934445062496)"
9,"Expert (0.7, 0.3, 0.0)","(0.38777661318339307, 0.11459393254357639)","(0.5190313967016807, 0.21859100850941865)","(0.2788920465812369, 0.17708320614790965)"
10,"Expert (0.8, 0.2, 0.0)","(0.38360683631004866, 0.11326878363584283)","(0.5409974063184467, 0.22470048095073078)","(0.26499149635798713, 0.1653797416591921)"
11,"Expert (0.9, 0.1, 0.0)","(0.3813718566364658, 0.11208936381511764)","(0.5661957177883443, 0.23094153876730503)","(0.26320656384747343, 0.16287754976067897)"
12,"Expert (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
13,"Society (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
14,"Society (0.1, 0.9, 0.0)","(0.617918714564707, 0.22114517196308422)","(0.3207431097888107, 0.11158848311717183)","(0.9982841225062563, 0.46941287798890213)"
15,"Society (0.2, 0.8, 0.0)","(0.5981473107973885, 0.21155408176060353)","(0.3501833632089409, 0.12522720635091716)","(0.9317679580299132, 0.4414993748484679)"
16,"Society (0.3, 0.7, 0.0)","(0.5638384930881378, 0.19884256359486102)","(0.3834800096171277, 0.1319561989267864)","(0.8265392172861442, 0.40532681293890666)"
17,"Society (0.4, 0.6, 0.0)","(0.5478333025116866, 0.18582251991111737)","(0.40683399148214167, 0.15020380730244484)","(0.7719294037084373, 0.37119822978734346)"
18,"Society (0.5, 0.5, 0.0)","(0.5077381276632016, 0.16055799264659062)","(0.4430486479488632, 0.1651747975685565)","(0.652588418027115, 0.28928985969183474)"
19,"Society (0.6, 0.4, 0.0)","(0.48050525107307623, 0.14688573600689334)","(0.47276308212496687, 0.1846879389626932)","(0.5653321530003987, 0.2518790477166066)"
20,"Society (0.7, 0.3, 0.0)","(0.45966551278772966, 0.14552245627735863)","(0.5059235436208072, 0.19584753916818576)","(0.4936523410967263, 0.25249068062159596)"
21,"Society (0.8, 0.2, 0.0)","(0.43007938857351147, 0.12485150647189555)","(0.5352103720439597, 0.2152298997364938)","(0.4046088662381072, 0.19762465778597987)"
22,"Society (0.9, 0.1, 0.0)","(0.4121038609636966, 0.12338239574506807)","(0.5563232351833377, 0.21992731972693882)","(0.34556235628494364, 0.18939988384145706)"
23,"Society (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
24,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
25,"Learning(0.1, 0.9, 0.0)_result_(0.1, 0.9, 0.0)","(0.5933667120139274, 0.22280735652259076)","(0.2949550512771805, 0.10041555505301733)","(0.9638403584731828, 0.48234040741427997)"
26,"Learning(0.2, 0.8, 0.0)_result_(0.2, 0.8, 0.0)","(0.5776412245659709, 0.21591702390236867)","(0.2986625502876689, 0.10411044599414608)","(0.9201321015946298, 0.48031165653780267)"
27,"Learning(0.3, 0.7, 0.0)_result_(0.3, 0.7, 0.0)","(0.5276158387293292, 0.1870494752963368)","(0.3181258136876415, 0.11112296109668009)","(0.7774253557658276, 0.42429271397722)"
28,"Learning(0.4, 0.6, 0.0)_result_(0.4, 0.6, 0.0)","(0.49470573678646407, 0.18028796296666777)","(0.3371408293680456, 0.11767651470400516)","(0.6822757131533428, 0.41050797002814204)"
29,"Learning(0.5, 0.5, 0.0)_result_(0.5, 0.5, 0.0)","(0.47535000579649167, 0.17264892608684998)","(0.3542357656879176, 0.12299736978597538)","(0.6222832852593121, 0.38331067279903747)"
30,"Learning(0.6, 0.4, 0.0)_result_(0.6, 0.4, 0.0)","(0.4387711624708333, 0.14800238494355708)","(0.4004321233635557, 0.17652918976565124)","(0.48746562860546155, 0.32402508645287936)"
31,"Learning(0.7, 0.3, 0.0)_result_(0.7, 0.3, 0.0)","(0.4072167918202467, 0.12930042852672086)","(0.4599763623547532, 0.20290810877290402)","(0.36544321296586485, 0.2597319349694704)"
32,"Learning(0.8, 0.2, 0.0)_result_(0.8, 0.2, 0.0)","(0.38749878140056115, 0.1141365700102123)","(0.5202021505676001, 0.22068273946709469)","(0.2768170844547536, 0.1752116401140118)"
33,"Learning(0.9, 0.1, 0.0)_result_(0.9, 0.1, 0.0)","(0.38332545036131416, 0.11302676274977679)","(0.5431070047910141, 0.2244526280063622)","(0.26478267056594823, 0.1649194486396599)"
34,"Learning(1.0, 0.0, 0.0)_result_(1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
