,Policy,sus,sec,eff
0,Exp + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
1,VL + P,"(0.38025577670257343, 0.11126354636423477)","(0.2918051385173672, 0.09969641974686427)","(0.21393223941375158, 0.10671546813275944)"
2,"Expert (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
3,"Expert (0.1, 0.9, 0.0)","(0.5933667120139274, 0.22280735652259076)","(0.2949550512771805, 0.10041555505301733)","(0.9638403584731828, 0.48234040741427997)"
4,"Expert (0.2, 0.8, 0.0)","(0.5276158387293292, 0.1870494752963368)","(0.3181258136876415, 0.11112296109668009)","(0.7774253557658276, 0.42429271397722)"
5,"Expert (0.3, 0.7, 0.0)","(0.4910156177012189, 0.17903617447422995)","(0.3398165675199906, 0.11497350900588262)","(0.6714297466387507, 0.4014222486265076)"
6,"Expert (0.4, 0.6, 0.0)","(0.4597346258654541, 0.16129561909419646)","(0.3712329945163602, 0.14263504797737153)","(0.5601036178635886, 0.34982868835090025)"
7,"Expert (0.5, 0.5, 0.0)","(0.4318968428683308, 0.14177144151406518)","(0.4115705620832542, 0.1860892400584511)","(0.46349674451132733, 0.30640996701723444)"
8,"Expert (0.6, 0.4, 0.0)","(0.40325076019967365, 0.12447572295858486)","(0.4700407901193677, 0.20715493623721348)","(0.34799337005748193, 0.22884934445062496)"
9,"Expert (0.7, 0.3, 0.0)","(0.38777661318339307, 0.11459393254357639)","(0.5190313967016807, 0.21859100850941865)","(0.2788920465812369, 0.17708320614790965)"
10,"Expert (0.8, 0.2, 0.0)","(0.38360683631004866, 0.11326878363584283)","(0.5409974063184467, 0.22470048095073078)","(0.26499149635798713, 0.1653797416591921)"
11,"Expert (0.9, 0.1, 0.0)","(0.3813718566364658, 0.11208936381511764)","(0.5661957177883443, 0.23094153876730503)","(0.26320656384747343, 0.16287754976067897)"
12,"Expert (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
13,"Society (0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
14,"Society (0.1, 0.9, 0.0)","(0.6203669680526793, 0.22351741837487613)","(0.322298938089022, 0.11444164371914657)","(1.0017964348082866, 0.4745677512533647)"
15,"Society (0.2, 0.8, 0.0)","(0.5934363180612932, 0.20475199924563617)","(0.34947787934543156, 0.13000842872582513)","(0.9225763209038923, 0.4230533923119563)"
16,"Society (0.3, 0.7, 0.0)","(0.5670807162316602, 0.20118519994711206)","(0.3796718908011251, 0.13418496727512685)","(0.8343128411328697, 0.4152975313387736)"
17,"Society (0.4, 0.6, 0.0)","(0.5392014818694166, 0.1810060136277873)","(0.4119820486645231, 0.1560328768287324)","(0.7476164839327746, 0.3555154735541211)"
18,"Society (0.5, 0.5, 0.0)","(0.5205724397124293, 0.1752404822508289)","(0.4350293538723857, 0.15795150355218077)","(0.6865065371207923, 0.33726184042550283)"
19,"Society (0.6, 0.4, 0.0)","(0.48712436055663444, 0.16093503440392706)","(0.47601566096824466, 0.19044515750531213)","(0.582973018712571, 0.31156627263601855)"
20,"Society (0.7, 0.3, 0.0)","(0.4574287996052206, 0.14154501978026007)","(0.4969678510238737, 0.1896288132671641)","(0.49457304951364145, 0.23005617939800693)"
21,"Society (0.8, 0.2, 0.0)","(0.43309424786053374, 0.13874122097049174)","(0.530604960902718, 0.208378880853087)","(0.41462888339516024, 0.23026803773014648)"
22,"Society (0.9, 0.1, 0.0)","(0.4084321069694277, 0.11971860508766372)","(0.5568344879663193, 0.2204494682408452)","(0.3362166652113956, 0.1730553630327873)"
23,"Society (1.0, 0.0, 0.0)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
24,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6477393075283066, 0.2361832086347883)","(0.2918051385056874, 0.09969641656120663)","(1.0907190222692167, 0.5074766754880546)"
25,"Learning(0.1, 0.9, 0.0)_result_(0.05, 0.93, 0.02)","(0.5933667120139274, 0.22280735652259076)","(0.2949550512771805, 0.10041555505301733)","(0.9638403584731828, 0.48234040741427997)"
26,"Learning(0.2, 0.8, 0.0)_result_(0.28, 0.69, 0.02)","(0.5222200119835754, 0.185661776036501)","(0.32060677597531284, 0.1120523121628506)","(0.764078040576638, 0.4195744680502763)"
27,"Learning(0.3, 0.7, 0.0)_result_(0.37, 0.61, 0.02)","(0.49470573678646407, 0.18028796296666777)","(0.3371408293680456, 0.11767651470400516)","(0.6822757131533428, 0.41050797002814204)"
28,"Learning(0.4, 0.6, 0.0)_result_(0.5, 0.49, 0.01)","(0.46188088013150264, 0.16288034122892026)","(0.36884151920840896, 0.13528318316295845)","(0.5645206279288303, 0.3496213751322704)"
29,"Learning(0.5, 0.5, 0.0)_result_(0.63, 0.36, 0.01)","(0.42310384411891727, 0.13694879764447548)","(0.42749454858743485, 0.1851259074939302)","(0.42298500181756316, 0.28565989398839153)"
30,"Learning(0.6, 0.4, 0.0)_result_(0.7, 0.29, 0.01)","(0.40325076019967365, 0.12447572295858486)","(0.4700407901193677, 0.20715493623721348)","(0.34799337005748193, 0.22884934445062496)"
31,"Learning(0.7, 0.3, 0.0)_result_(0.78, 0.21, 0.0)","(0.38812419057725683, 0.11452893536143054)","(0.5177668702725848, 0.2182446315958286)","(0.2787604884100514, 0.17715700926861092)"
32,"Learning(0.8, 0.2, 0.0)_result_(0.89, 0.1, 0.01)","(0.3830967617594931, 0.11258352495827509)","(0.5452593569574865, 0.2297023393480624)","(0.26271296701490526, 0.16345254931753372)"
33,"Learning(0.9, 0.1, 0.0)_result_(0.95, 0.05, 0.0)","(0.38127609991198896, 0.11181881407160356)","(0.5687528049678995, 0.2387682925939699)","(0.25115381812754906, 0.1451310563047594)"
34,"Learning(1.0, 0.0, 0.0)_result_(0.97, 0.01, 0.02)","(0.38025577663517507, 0.11126355395736716)","(0.590937801081485, 0.2374247621512469)","(0.24652831641287776, 0.14015597125618823)"
